Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G137383;8/28/2015;768;40 STREET;BROOKLYN;11232;7 AVENUE / 8 AVENUE;;307;07;72;38;FALSE;984701;174931;Yes;No;No;FALSE
G137387;8/29/2015;47-27;21 STREET;QUEENS;11101;JACKSON AVENUE / 47 ROAD;;402;02;108;26;FALSE;998943;210185;No;No;No;FALSE
G137389;8/29/2015;1734;AMSTERDAM AVENUE;MANHATTAN;10031;WEST  145 STREET / WEST  146 STREET;;109;9;30;07;FALSE;998792;240187;Yes;No;No;FALSE
G137390;8/29/2015;3426;BROADWAY;MANHATTAN;10031;WEST  139 STREET / WEST  140 STREET;;109;9;30;07;FALSE;997342;239000;No;No;No;FALSE
G137391;8/29/2015;3656;BROADWAY;MANHATTAN;10031;WEST  150 STREET / WEST  151 STREET;;109;09;30;07;FALSE;998815;241659;No;No;No;FALSE
G137392;8/29/2015;550;WEST  153 STREET;MANHATTAN;10031;AMSTERDAM AVENUE / BROADWAY;;109;9;30;07;FALSE;999068;242114;No;No;No;FALSE
G137395;8/30/2015;423;HUMBOLDT STREET;BROOKLYN;11211;JACKSON STREET / WITHERS STREET;;301;01;94;34;FALSE;999975;200486;Yes;No;No;FALSE
G137399;8/30/2015;1120;BUSHWICK AVENUE;BROOKLYN;11221;WOODBINE STREET / MADISON STREET;;304;04;83;34;FALSE;1006773;190502;No;No;No;FALSE
G137401;8/31/2015;1054;BUSHWICK AVENUE;BROOKLYN;11221;GATES AVENUE / PALMETTO STREET;;304;04;83;34;FALSE;1006224;190816;No;No;No;FALSE
G137406;8/31/2015;175;WEST   94 STREET;MANHATTAN;10025;COLUMBUS AVENUE / AMSTERDAM AVENUE;;107;7;24;06;FALSE;992406;228133;No;No;No;FALSE
G137408;8/31/2015;2011;EMMONS AVENUE;BROOKLYN;11235;OCEAN AVENUE / EAST   21 STREET;;315;15;61;48;FALSE;998753;152075;No;No;No;FALSE
G137410;8/31/2015;1490;BEDFORD AVENUE;BROOKLYN;11216;STERLING PLACE / ST JOHNS PLACE;;308;08;77;35;FALSE;996795;184252;No;No;No;FALSE
G137416;8/31/2015;59;VAN DAM STREET;BROOKLYN;11222;NASSAU AVENUE / BRIDGEWATER STREET;;301;01;94;33;FALSE;1001602;204110;Yes;No;No;FALSE
G137417;8/31/2015;221;SEAMAN AVENUE;MANHATTAN;10034;WEST  214 STREET / WEST  215 STREET;;112;12;34;07;FALSE;1006724;256553;No;No;No;FALSE
G137418;8/31/2015;92-04;DITMARS BOULEVARD;QUEENS;11369;92 STREET / 93 STREET;;403;03;115;21;FALSE;1017955;219804;No;No;No;FALSE
G137420;8/31/2015;18;GROVE STREET;MANHATTAN;10014;GROVE COURT / BEDFORD STREET;;102;02;6;03;FALSE;982732;206065;No;No;No;FALSE
G137421;8/31/2015;640;RHINELANDER AVENUE;BRONX;10462;UNIONPORT ROAD / AMETHYST STREET;;211;11;49;15;FALSE;1020584;247843;No;No;No;FALSE
G137423;8/31/2015;405;5 AVENUE;BROOKLYN;11215;7 STREET / 8 STREET;;306;06;78;39;FALSE;988365;183409;Yes;No;No;FALSE
G137425;8/31/2015;2286;FLATBUSH AVENUE;BROOKLYN;11234;FILLMORE AVENUE / EAST   49 STREET;;318;18;63;46;FALSE;1004342;162924;Yes;No;No;FALSE
