borough,neighborhood,building_class_category,tax_class_present,block,lot,easement,building_class_present,address,apartment_number,zip_code,residential_units,commmercial_units,total_units,land_sq_feet,gross_sq_feet,year_built,tax_class_time_sale,build_class_time_sale,sale_price,sale_date,serialid
5,ANNADALE,01  ONE FAMILY HOMES,1,6220,11,,A5,51 BARB STREET,,10312,1,0,1,1585,1661,2004,1,A5,410000,6/10/2011,212811
5,ANNADALE,01  ONE FAMILY HOMES,1,6220,14,,A5,45 BARB STREET,,10312,1,0,1,1585,1661,2004,1,A5,415000,1/14/2011,212812
5,ANNADALE,01  ONE FAMILY HOMES,1,6220,63,,A5,40 ENDVIEW STREET,,10312,1,0,1,1648,1816,2003,1,A5,426000,2/10/2011,212813
5,ANNADALE,01  ONE FAMILY HOMES,1,6220,68,,A5,52 ENDVIEW STREET,,10312,1,0,1,1648,1816,2003,1,A5,380000,11/10/2011,212814
5,ANNADALE,01  ONE FAMILY HOMES,1,6220,68,,A5,52 ENDVIEW STREET,,10312,1,0,1,1648,1816,2003,1,A5,0,2/4/2011,212815
5,ANNADALE,01  ONE FAMILY HOMES,1,6222,33,,A5,58 JEANNETTE AVENUE,,10312,1,0,1,2490,2250,2004,1,A5,517000,7/26/2011,212816
5,ANNADALE,01  ONE FAMILY HOMES,1,6222,40,,A5,43 LORRAINE AVENUE,,10312,1,0,1,2400,2100,2004,1,A5,0,3/30/2011,212817
5,ANNADALE,01  ONE FAMILY HOMES,1,6222,46,,A5,31 LORRAINE AVENUE,,10312,1,0,1,2400,2100,2004,1,A5,0,5/11/2011,212818
5,ANNADALE,01  ONE FAMILY HOMES,1,6222,48,,A5,27 LORRAINE AVENUE,,10312,1,0,1,2400,2100,2004,1,A5,470000,8/16/2011,212819
5,ANNADALE,01  ONE FAMILY HOMES,1,6226,1,,A1,808 ARDEN AVENUE,,10312,1,0,1,6450,1648,1925,1,A1,352500,12/23/2011,212820
5,ANNADALE,01  ONE FAMILY HOMES,1,6227,71,,A1,944 CARLTON BOULEVARD,,10312,1,0,1,4125,1408,1935,1,A1,473000,3/21/2011,212821
5,ANNADALE,01  ONE FAMILY HOMES,1,6232,11,,A1,182 RATHBUN AVENUE,,10312,1,0,1,4000,1630,1960,1,A1,440000,1/3/2011,212822
5,ANNADALE,01  ONE FAMILY HOMES,1,6232,50,,A1,630 ARDEN AVENUE,,10312,1,0,1,3480,1664,1980,1,A1,340000,10/27/2011,212823
5,ANNADALE,01  ONE FAMILY HOMES,1,6233,4,,A2,287 JEFFERSON BOULEVARD,,10312,1,0,1,6000,1032,1935,1,A2,0,3/8/2011,212824
5,ANNADALE,01  ONE FAMILY HOMES,1,6234,7,,A1,329 JEFFERSON BOULEVARD,,10312,1,0,1,4000,2178,1965,1,A1,425000,8/25/2011,212825
5,ANNADALE,01  ONE FAMILY HOMES,1,6237,22,,A5,214 VINELAND AVENUE,,10312,1,0,1,4000,2350,2005,1,A5,775000,12/6/2011,212826
5,ANNADALE,01  ONE FAMILY HOMES,1,6245,257,,A1,45 FURMAN STREET,,10312,1,0,1,4200,2800,2001,1,A1,0,6/13/2011,212827
5,ANNADALE,01  ONE FAMILY HOMES,1,6247,34,,A1,1037 ANNADALE ROAD,,10312,1,0,1,5000,1693,1910,1,A1,340000,5/26/2011,212828
5,ANNADALE,01  ONE FAMILY HOMES,1,6249,200,,A1,1026 ANNADALE ROAD,,10312,1,0,1,30912,1598,1945,1,A1,725000,7/7/2011,212829
5,ANNADALE,01  ONE FAMILY HOMES,1B,6249,214,,V0,1002 ANNADALE ROAD,,10312,1,0,1,40000,0,1955,1,A2,1100000,5/26/2011,212830
5,ANNADALE,01  ONE FAMILY HOMES,1,6249,604,,B2,86 BENNETT AVENUE,,10312,2,0,2,3912,2170,2010,1,A1,745000,3/7/2011,212831
