ciudad,clave,estado,Tasa homicidios Por cada cien mil habitantes,Robo de mercancias: Pesos 2012 por cada millon de pesos de PIB,safetyperception,mtCO2e,Proporcion del area del municipio con acuiferos sobreexplotados,waterpc,"cap tratamiento de agua l/s por cada 1,000 hab","indice, 
Valores de 0-3, en funcion a si mide, publica datos y tiene un Proaire",goodtrash,"Aprovecha biogas Si=1, No=0",fuelpergdp,rend academico Ò% de alumnos de educacion basica y media superior en niveles Bueno y Excelente en Matematicas de prueba ENLACE,accessgoodschools,mortalidad diabetes Por cada 10 mil habitantes,mort infantil Decesos de menores de un a–o por cada mil nacidos vivos,Por cada 10 mil habitantes,acceso inst salud % de la PEA,crec accesso salud Tasa de cambio (%) entre 2008 y 2012, crec pob calificada Tasa de cambio (%) entre 2008 y 2012,viviendas drenaje Por cada 100 viviendas habitadas,Viv piso tierra Por cada 100 viviendas habitadas,Vic deshabitads Por cada 100 viviendas,personas dejaboj linea de bienestar % PEA,Desigualdad en ciudades Coeficiente de Gini salarial (menos es mejor),Mujeres en la PEA como % del total de mujeres en edad laboral,Por cada 100 mil habitantes,inf,percentemployedformal,crecimiento empleos sector formal Tasa de cambio (%) entre 2008 y 2012,citygrowth,popdensity,minwage,Productividad media del trabajo Miles de pesos de 2012 por trabajador (descontando el efecto del sector minero),pob ocupada sin ingresos % poblacion ocupada,crecimiento pob ocupada sin ingresos Tasa de cambio (%) entre 2008 y 2012,sectores con crecimiento % PIB en sectores que crecen a una tasa de crecimiento superior al promedio,stategdpchange,wagechange,% de la PEA,viviendas con telefono moviles % de viviendas habitadas,viviendas con compu % de viviendas habitadas,Twits por hora por cada mil habitantes,muertes rel con transporte Por cada 100 mil habitantes,"sitema transporte masivo Dummy
(0=no hay, 1=aprobado proy ejecutivo (BANOBRAS), 2=en construccion (o <250 mil hab), 3=listo)
",uso servicio fin Por adultos,"accesso servicio fin Por cada 10,000 adultos",FDI Dolaes per capita (promedio 3 a–os),"cd frontera o pueblo Dummy (0=ninguna, 1=puerto, 2=frontera)",firmsper1000pea,population,gdpcity,gdppc
Aguascalientes,1,Aguascalientes,4.729084236,0.092115205,45.71437549,3.33,1.000000292,103.3850939,3.033837969,1,1,1,4.187820515,0.370300863,0.183884298,6.260896303,9.753718605,6.774927198,0.466320886,0.020149375,-0.017677226,99.0138059,0.976463296,19.90300918,0.030333081,0.348490447,0.415559283,3.598216266,184360,0.533527992,-0.043886369,1.11744126,9562.758974,5773.421387,369.5761275,0.269610497,0.030418267,0.153937137,0.033075483,-0.03239098,0.060109679,0.777552275,0.406085756,2.967671701,17.88827515,1,1.572110073,6.137565997,295.4238361,0,27.7979919,972704.1793,155860414.2,160.2341364
Ensenada,55,Baja California,13.13138574,0.062224712,53.70315032,,0.118322557,118.4181298,1.164067246,1,1,0,16.7929408,0.358751919,0.132183908,4.343458362,13.55375295,4.444469021,0.375173765,0.023136265,0.043730945,75.10628738,1.23756878,23.24082077,0.034873514,0.314466229,0.452918576,2.42425583,135357,0.460597994,-0.072059614,1.053853635,4564.241657,5030.470215,94.15162053,0.101016582,0.233605642,0.3633469,0.008912187,-0.010916202,0.054647855,0.809898758,0.398459797,1.37374497,24.2425583,2,1.34606729,8.120645996,106.3844267,1,21.62029799,494997.2628,25179915.48,50.86879741
Mexicali,3,Baja California,13.0008449,0.055981259,53.70315032,,0.311051755,33.01809038,2.194369362,2,1,0,6.4421892,0.428928411,0.240776699,6.754345203,11.37563035,4.499511166,0.459067928,-0.010730829,-0.04702278,83.46225423,0.786718202,23.40244658,0.017569572,0.3399882,0.438774365,2.031382016,209684,0.528881519,-0.061024202,1.679121847,5268.395006,5412.566406,313.5318551,0.17561231,0.198258419,0.419381762,0.008912187,-0.044441119,0.035067599,0.838969848,0.451390383,1.943355462,3.859625831,2,1.521162974,8.043036123,304.7073024,2,24.43349839,984551.3961,145249770.1,147.5288854
Tijuana,2,Baja California,18.60390503,0.010975085,53.70315032,,0,51.10592301,1.670192907,2,0.926049677,0,7.268167415,0.374713014,0.166461159,4.899749405,11.95936629,2.541812605,0.467884684,0.008233369,0.015991773,87.18339934,1.316728491,24.21618398,0.015583192,0.289077004,0.443174703,1.406109101,315331,0.570232131,-0.051318737,0.804222883,6566.54919,5516.120117,243.3659128,0.117191205,0.043424553,0.293607496,0.008912187,-0.009103832,0.073514129,0.837796615,0.439935907,2.913169624,3.082623798,2,1.592312033,6.341842839,215.2915277,2,21.01161321,1849074.157,192773539.7,104.2540879
La Paz,56,Baja California Sur,5.202631982,0.05441782,30.44978714,,0.301319499,79.86691164,1.712866469,3,1,0,8.648556521,0.434804785,0.213017751,6.986391518,13.16093281,7.135038146,0.505455609,0.038111876,0.02405007,90.39711527,1.122791422,20.28299247,0.018413641,0.362705238,0.482023766,4.087782271,49572,0.595095933,-0.029645888,0.794774381,5523.049281,6331.463867,213.0416364,0.134412598,0.013184692,0.65882287,0.03024802,-0.011546521,0.057934102,0.918897307,0.534248439,7.035940394,24.15507706,2,1.843561543,8.794038215,671.9199204,1,34.949753,269094.5669,28515603.66,105.9687083
Los Cabos,57,Baja California Sur,4.81175891,0.004753508,30.44978714,,0,82.29378226,1.373599801,3,1,0,7.636454549,0.365698402,0.163934426,2.664974166,8.292770867,3.479271827,0.539330092,-0.013996424,-0.000385629,81.15935434,3.418513281,26.58063236,0.01777669,0.458868866,0.572462002,1.480541203,28700,0.658938312,-0.062190036,1.033888824,6138.878236,6222.640625,316.3401702,0.13602063,0.081131065,0.280093019,0.03024802,0.009312492,0.06389819,0.829609575,0.375032873,4.194866742,14.06514143,2,1.71905732,7.45398283,715.3975094,1,38.61257273,270171.4746,28470340.34,105.3787798
Campeche,58,Campeche,4.756598945,0.164585545,54.72146095,,0,320.086358,0.42613315,0,1,0,9.130076948,0.492208855,0.31884058,8.635056546,10.05867561,11.59878358,0.447277626,0.031937473,-0.008255866,1.557645367,0.534923099,16.35891315,0.074048572,0.352914248,0.46837953,2.561245586,64714,0.502991391,-0.061011854,1.193573012,4893.430345,6144.294922,127.944905,0.060726382,0.007571295,0.4802736,-0.050182492,0.023223766,0.025506118,0.883035134,0.441892641,31.12523207,16.46515019,2,1.751529011,3.871251125,3.658922265,1,23.56771321,273304.5218,17157132.51,62.77661414
Ciudad del Carmen,59,Campeche,13.23587558,0,54.72146095,,0,105.9206152,0.129643114,0,1,0,0.179528982,0.57820412,0.402515723,6.190974063,17.8766078,3.501102573,0.412481966,0.024912552,-0.015738399,1.502694522,1.21648105,17.62924297,0.075150788,0.480987774,0.427334122,1.707854914,61198,0.454743088,-0.066327357,1.77992219,6510.411064,5576.786133,304.8363637,0.07578606,0.294620194,0.011977982,-0.050182492,-0.006263515,0.024551981,0.879118461,0.410392786,16.62312116,7.258383384,2,1.960767576,5.269066878,225.3941523,1,20.33686187,234211.9326,789051818.8,3368.965065
Saltillo,5,Coahuila,11.36734573,0.024278601,71.71384114,,0.411684465,4.595471347,1.339668243,0,0.972409362,0,1.94997987,0.443260877,0.189453125,6.449228799,11.17650235,3.143419073,0.599087615,0.062553341,-0.002964279,89.28621828,0.724324223,18.30425654,0.028475645,0.348022852,0.429880986,1.623906532,131575,0.651372914,0.013910586,0.153516728,4292.266778,5938.595703,718.2101728,0.095964855,0.046112734,0.168976638,0.0312472,-0.004198689,0.052963996,0.800727628,0.411264571,4.423212078,10.78737911,1,2.058098057,9.120043395,90.37039851,0,22.09196118,862118.584,287008501.3,332.9107
Monclova-Frontera,6,Coahuila,19.51522377,0.264260041,71.71384114,,0,147.3428912,1.417417457,0,0,0,2.682453935,0.400676857,0.113207547,8.934313384,12.80186209,2.744328343,0.56090032,0.031230281,0.058599651,91.01608333,0.571231724,11.87111713,0.023255492,0.311827864,0.375352038,2.744328343,47707,0.642086547,0.003423386,0.234964055,3651.472957,5940.399902,560.3686702,0.057310266,0.036245498,0.106811006,0.0312472,-0.062315656,0.077449094,0.866775356,0.403007481,8.314298462,18.29552229,2,1.598114336,8.136153985,70.62071604,0,28.45337135,327949.0962,84056802.26,256.3105166
