ciudad,clave,estado,Tasa homicidios Por cada cien mil habitantes,Robo de mercancias: Pesos 2012 por cada millon de pesos de PIB,safetyperception,mtCO2e,Proporcion del area del municipio con acuiferos sobreexplotados,waterpc,"cap tratamiento de agua l/s por cada 1,000 hab","indice, 
Valores de 0-3, en funcion a si mide, publica datos y tiene un Proaire",goodtrash,"Aprovecha biogas Si=1, No=0",fuelpergdp,rend academico Ò% de alumnos de educacion basica y media superior en niveles Bueno y Excelente en Matematicas de prueba ENLACE,accessgoodschools,mortalidad diabetes Por cada 10 mil habitantes,mort infantil Decesos de menores de un a–o por cada mil nacidos vivos,Por cada 10 mil habitantes,acceso inst salud % de la PEA,crec accesso salud Tasa de cambio (%) entre 2008 y 2012, crec pob calificada Tasa de cambio (%) entre 2008 y 2012,viviendas drenaje Por cada 100 viviendas habitadas,Viv piso tierra Por cada 100 viviendas habitadas,Vic deshabitads Por cada 100 viviendas,personas dejaboj linea de bienestar % PEA,Desigualdad en ciudades Coeficiente de Gini salarial (menos es mejor),Mujeres en la PEA como % del total de mujeres en edad laboral,Por cada 100 mil habitantes,inf,percentemployedformal,crecimiento empleos sector formal Tasa de cambio (%) entre 2008 y 2012,citygrowth,popdensity,minwage,Productividad media del trabajo Miles de pesos de 2012 por trabajador (descontando el efecto del sector minero),pob ocupada sin ingresos % poblacion ocupada,crecimiento pob ocupada sin ingresos Tasa de cambio (%) entre 2008 y 2012,sectores con crecimiento % PIB en sectores que crecen a una tasa de crecimiento superior al promedio,stategdpchange,wagechange,% de la PEA,viviendas con telefono moviles % de viviendas habitadas,viviendas con compu % de viviendas habitadas,Twits por hora por cada mil habitantes,muertes rel con transporte Por cada 100 mil habitantes,"sitema transporte masivo Dummy
(0=no hay, 1=aprobado proy ejecutivo (BANOBRAS), 2=en construccion (o <250 mil hab), 3=listo)
",uso servicio fin Por adultos,"accesso servicio fin Por cada 10,000 adultos",FDI Dolaes per capita (promedio 3 a–os),"cd frontera o pueblo Dummy (0=ninguna, 1=puerto, 2=frontera)",firmsper1000pea,population,gdpcity,gdppc
La Laguna,4,Coahuila,77.54631522,0.09128513,68.83965584,,0.820912623,110.2225858,1.869031718,1,0.946699338,0,3.364780844,0.39756513,0.201811125,7.770409002,12.82730437,2.492841873,0.420402563,-0.02837958,-0.015471175,86.80765628,1.576269233,22.14331732,0.037844076,0.349786979,0.422911842,3.549933047,254262,0.487339858,-0.074577677,1.246672771,6401.395251,5688.945313,416.4206249,0.091665558,-0.043443634,0.27041504,0.027497997,-0.036708227,0.060168499,0.802663017,0.36835179,5.443230671,13.80529518,1,1.443506024,5.392513403,206.25111,0,23.11272308,1267629.541,222268140.1,175.3415591
Piedras Negras,7,Coahuila,30.72460632,0.11809571,71.71384114,,0,75.77097714,2.064831967,0,0.902486289,0,8.368208392,0.37510993,0.157407407,10.78056362,12.19512195,2.802946541,0.569156229,0.082003528,-0.113998387,91.41978902,0.956806467,21.41611668,0.018368895,0.310541683,0.35313546,1.078056362,26718,0.619179293,0.029452101,1.062834163,2891.744,5109.252441,188.7824405,0.078992004,0.082837857,0.139090301,0.0312472,-0.053202902,0.066128023,0.91001654,0.392715507,5.821504355,10.78056362,2,1.640409722,11.12067932,26.62799214,2,28.80455762,185519.0573,17705672.84,95.43856622
Tecoman,9,Colima,69.91981498,0.195042132,59.6803251,,0.070132516,125.043508,0.223843746,0,1,0,15.21531759,0.326769159,0.079207921,8.874438055,13.87631976,6.521367358,0.22,0.10537637,0.097737211,88.05211665,4.361867808,17.21785488,0.067546765,0.344123047,0.552921031,0,42416,0.301173059,-0.169373874,0.21407581,5656.84,4525.417969,112.8300512,0.078934361,-0.032901171,0.309890168,0.029829624,0.000484687,0.056211224,0.594847552,0.183786128,3.092607201,31.59837792,2,1.228248617,5.499465801,20.63979154,0,19.90328249,148741.8124,7360927.522,49.48795099
Colima-Villa de alvarez,8,Colima,29.8613894,0.057761202,59.6803251,,0.030459669,179.6870159,2.06529214,1,0.873682137,0,10.6110481,0.444913466,0.18018018,8.162113103,8.585055644,8.645583217,0.368321839,0.01714882,-0.031831227,87.52772747,1.439940581,21.7538347,0.029901457,0.332676201,0.521885098,1.990759293,90855,0.461089033,-0.086378483,0.779551606,5247.919611,5986.392578,213.2010508,0.11370188,0.046392309,0.32772749,0.029829624,-0.018967838,0.048492511,0.729527344,0.420877778,4.834701141,20.4763813,2,1.678082161,6.935802699,44.90584178,0,26.01844431,351624.63,39588476.67,112.5873255
Manzanillo,60,Colima,21.63607414,0.810121085,59.6803251,,0,7.373705637,1.897652795,0,0,0,14.5707583,0.336067393,0.096491228,7.367960382,7.42721331,7.601863886,0.38345857,0.004389877,0.046512475,86.60849249,2.053244011,25.45067888,0.036340712,0.359916915,0.504199302,1.754276281,47853,0.493710126,-0.066004133,0.563674047,3657.194995,5262.931641,127.6629515,0.085963372,0.109647153,0.507024287,0.029829624,-0.010187645,0.03894374,0.729099965,0.342257573,3.508552563,16.37324529,2,1.868234996,8.005150543,36.95675366,1,24.0780095,171010.6915,14887531.28,87.05614341
Tuxtla Gutierrez,10,Chiapas,2.884363959,0.024233196,50.58990549,,0,86.94178397,0.93003917,1,0.873365142,0,10.37558181,0.516777314,0.470031546,7.59549176,13.82155004,4.381486205,0.397575386,0.047703172,0.029279707,69.27731033,3.52059906,16.30851145,0.072465655,0.371183366,0.46311407,2.3349613,154683,0.495545178,-0.048346788,0.236471366,4836.733828,6089.508301,117.0030032,0.076625554,-0.042802319,0.331447237,0.023767683,-0.076750774,0.049515201,1,0.359376583,13.07578328,2.60966263,0,2.41096365,4.392805147,0.618077991,0,17.68090066,728063.4586,38080409.09,52.30369501
Tapachula,61,Chiapas,12.33710625,0.119607441,50.58990549,,0,52.51319729,0.300845506,3,1,0,17.89286328,0.448968037,0.359090909,8.959089064,13.97984887,4.993590626,0.200180698,-0.093976719,-0.120281593,66.48446178,7.668337923,17.47383056,0.278326692,0.42606635,0.281239146,9.693440627,122805,0.270364209,-0.20805923,0.853368889,5803.046643,4112.050293,55.38168113,0.068807557,0.09409946,0.516635854,0.023767683,-0.057477875,0.025216606,0.784062334,0.219633447,4.425692084,25.84917501,2,1.580371681,5.810122194,0.35248875,2,15.13922995,340436.3968,9813310.886,28.82568074
Chihuahua,12,Chihuahua,63.97755039,0.075953851,70.21272503,,0.178269651,194.7568273,2.524276822,1,1,0,4.583873953,0.48315588,0.378640777,7.055058638,11.8125,6.419665159,0.616266881,0.020362766,-0.0391232,100,0.203142768,20.54412976,0.020932489,0.392886923,0.429337533,5.696631199,115221,0.702287473,-0.020304678,2.295808611,4385.232241,6025.168457,375.6249421,0.238447009,0.105805235,0.194228214,0.012963392,-0.084568726,0.058753001,0.917297342,0.560530246,3.001686439,15.0084322,2,1.800572607,6.912362529,628.5575224,0,26.6258734,912820.1947,158265931.3,173.3812773
Juarez,11,Chihuahua,57.67604291,0.009527819,70.21272503,,0.270886481,95.41055874,2.218598677,1,1,1,0.067130561,0.443966948,0.322064057,6.659353582,13.64170584,2.258139336,0.547000769,0.055633903,-0.030993236,99.34227873,0.302795931,25.41064759,0.00861916,0.276897731,0.394021281,2.517034291,274061,0.606372757,-0.011081564,10.85346663,5157.700945,5485.789551,183.8817002,0.045402121,-0.037899096,0.225749889,0.012963392,-0.025489093,0.064091224,0.847605738,0.408521479,1.467071416,10.42771349,1,1.624385361,5.182980252,368.1702016,2,10.96886241,1390525.354,137687960.2,99.01866211
Valle de Mexico,13,Distrito Federal,15.59857541,0.257167282,76.28878185,31,0.875462544,95.93999269,0.23454336,3,0.866843976,1,2.543544272,0.458890131,0.301720741,8.985968994,13.0608401,7.163736892,0.397564355,0.021171492,0.005196513,92.57471011,0.702378743,13.85695624,0.03367725,0.310826778,0.450094015,2.292779534,5032558,0.465482574,-0.056113632,1.333303141,10856.89105,5774.948242,371.9584315,0.299243782,0.107411961,0.399274602,0.0258087,-0.014979284,0.061496794,0.7699464,0.384024139,8.486162242,9.607609638,3,2.739005888,4.478347015,487.58499,0,14.59736581,20848057.69,3752383553,179.9872011
Durango,62,Durango,41.13880739,0,65.96547054,,0.498743594,108.2848075,3.603133559,2,1,1,10.6348465,0.499255472,0.358796296,6.42285728,14.71836966,9.089562581,0.422024365,0.028306855,-0.016800066,80.29754037,1.957106939,17.88036555,0.067983613,0.350267028,0.438400919,1.626039818,149107,0.473588889,-0.035096563,0.682500515,8575.119855,5529.06543,106.1577072,0.131427139,0.207016766,0.294919939,0.017342737,-0.017524828,0.042537081,0.79225847,0.381769738,3.327961493,18.21164596,1,1.61350456,5.254388542,178.3277868,0,21.48825701,614991.0901,33136206.52,53.88079121
Celaya,63,Guanajuato,15.73031909,0.163369486,60.00887552,1.61,0.999997001,89.35079291,0.016218167,3,0.857107213,0,4.446439001,0.399495851,0.225895317,10.36916952,14.14348925,3.467090737,0.348594494,0.002994472,-0.016389118,80.62127119,2.921243078,19.62486803,0.064006501,0.345845215,0.493289651,3.531296121,161788,0.414947783,-0.106338479,1.023991505,8044.428113,5576.02002,275.048472,0.188120172,0.046205033,0.249581118,0.028230746,0.016342066,0.067483173,0.653594742,0.271026806,7.105395832,22.79291133,3,1.397930997,5.540788847,84.47823403,0,19.60896718,623000.7126,81598132.78,130.9759863
Guanajuato,64,Guanajuato,7.308750793,0.078767319,60.00887552,,1.000002698,128.9250001,0.937408242,3,1,0,2.741989252,0.464839341,0.232,6.802760353,10.55766107,6.352991074,0.433900498,0.185041517,-0.080894867,77.5952572,1.280535348,17.1360132,0.004955684,0.25376239,0.428351767,3.373269597,38565,0.474046697,0.098889236,0.530447047,5726.756897,5559.589844,387.6387804,0.214472751,0.243930974,0.822470505,0.028230746,0.027918901,0.05125186,0.696566568,0.339604678,10.04484724,15.74192478,2,2.286880721,6.086893636,104.1215882,0,16.93730996,177868.9734,31314484.52,176.0536642
Irapuato,65,Guanajuato,13.08732675,0.295265011,60.00887552,1.11,1.000000054,99.28203111,2.028720691,3,1,0,7.418033954,0.54343987,0.416,8.52493923,12.52763449,2.61746535,0.337667815,0.028793932,0.049564686,81.15035639,1.654509168,16.51638699,0.051285889,0.375332447,0.49971791,3.817136969,173085,0.390805326,-0.066062308,0.46666859,8010.209477,5368.317871,144.6529048,0.119744757,0.573499881,0.224568073,0.028230746,0.01133872,0.033598754,0.648382666,0.270645322,3.599014856,20.35806383,0,1.314896361,4.90963148,49.78637218,0,16.53747122,550150.5493,42657956.54,77.53869662
Leon,14,Guanajuato,10.74472124,0.047354716,60.00887552,,0.996787849,146.7792484,1.025029695,3,1,0,4.086442073,0.422269228,0.227027027,8.463718967,9.51371178,4.880144341,0.400845375,0.036430485,-0.015873828,82.94292923,1.319188332,16.71413128,0.027566332,0.282612397,0.464462202,2.100923148,365473,0.457026126,-0.056709602,1.04534511,9450.437438,4865.668457,285.676397,0.286733671,0.13485568,0.217694966,0.028230746,-0.023280948,0.051004482,0.721426807,0.284863187,3.517545613,13.68601365,3,1.443746558,5.925503532,76.83976347,0,23.54107245,1665934.332,203736709.2,122.2957623
La Piedad-Penjamo,26,Guanajuato,12.08308029,0.187856733,60.3686465,,0.569600495,50.54418969,0.904870798,0,1,0,15.89631134,0.414410256,0.307189542,10.21215173,14.03635055,6.431316928,0.243489231,-0.017348736,-0.249419868,77.09954371,1.57341793,23.63854728,0.085666654,0.290376279,0.34087769,4.287544619,106416,0.28898629,-0.144070498,0.09619351,7540.404956,4494.946777,58.36562529,0.070328995,-0.129475199,0.316034031,0.02420932,-0.052201281,0.036625085,0.575804098,0.195130131,1.948883918,31.57191946,2,1.147214867,4.100318569,12.82365618,0,9.719486605,256557.0969,9075107.232,35.37266106
San Francisco del Rincon,15,Guanajuato,7.396227152,0.11509259,60.00887552,,0.992396286,59.85579863,0.053431396,0,1,0,6.760077755,0.425508093,0.282894737,5.124528812,7.676676451,2.271698339,0.241736092,-0.0671345,0.012327563,79.75562322,1.230442813,20.0345457,0.038123392,0.242492071,0.458306892,2.113207758,69234,0.307493799,-0.167339814,0.326345979,7697.973829,4195.49707,107.2563815,0.197567416,0.16036858,0.118614453,0.028230746,-0.000362298,0.040426921,0.598345969,0.168182659,1.056603879,9.509434909,2,0.969657309,4.399964657,38.09056983,0,15.31846278,189285.6954,11187835.81,59.10555359
Salamanca,66,Guanajuato,12.24399872,0.035045579,60.00887552,,0.999999578,145.1499424,1.514541022,3,1,0,1.167532013,0.429944275,0.319018405,10.05492016,13.56954391,3.895817773,0.32970002,0.085127111,-0.006684012,82.28622706,1.318939826,14.93236696,0.047886657,0.352294311,0.456262408,1.855151321,111631,0.397923521,-0.003533268,0.283516407,5910.295203,5142.647949,83.22096041,0.048551858,-0.010704823,0.034370394,0.028230746,-0.014790282,0.04581783,0.68192141,0.271366548,8.212136512,21.51975532,2,1.286332504,4.361738164,302.9462106,0,10.57572062,269519.7931,125874535.6,467.032622
Moroleon-Uriangato,78,Guanajuato,8.959434006,0.205252356,60.00887552,,0.920541406,97.13824961,1.841257788,0,1,0,15.12049364,0.504138535,0.302631579,9.944971746,12.69680041,5.286066063,0.114097039,-0.089554667,-0.211290205,83.8263285,0.78803674,27.0001306,0.044406574,0.436241128,0.484491681,3.583773602,46867,0.185629887,-0.248046145,0.241555526,5689.47644,5166.020996,59.58012228,0.047645526,-0.349885627,0.555095666,0.028230746,-0.002795338,0.056974782,0.573307298,0.203542934,1.612698121,20.60669821,2,1.240780947,5.31833541,20.60669821,0,13.27281367,111614.1934,3647602.474,32.68045365
Acapulco,16,Guerrero,144.9018333,0.129243765,75.71415352,,0,180.1285438,2.281371377,0,0.948887133,0,8.990921203,0.071457143,0.037037037,8.887906454,9.512991623,5.591139148,0.276562739,0.028061063,0.025594337,55.11031237,8.670005191,29.18890395,0.056135079,0.341421375,0.394374575,2.338922751,281922,0.314238594,-0.089096215,0.23709845,6623.435103,5533.047852,93.87072676,0.240170466,0.110001969,0.550922904,0.014782215,0.014823049,0.045315845,0.744749888,0.211932065,4.284312468,11.13772739,2,1.422551753,5.678952361,8.832217817,1,14.59748921,897849.2338,40435420.55,45.03586909
Chilpancingo,77,Guerrero,29.1387956,0.120186686,75.71415352,,0,35.72919528,0.999222687,0,1,0,19.09838675,0.32,0.2,5.906512621,10.30478955,7.363452401,0.377952858,-0.0299031,-0.031507947,57.65179976,10.82425634,19.47605634,0.065296549,0.422831703,0.455734678,1.181302524,44787,0.407806529,-0.120203305,1.617399041,6181.053952,5912.145996,95.10169467,0.23800394,-0.022730499,0.471671174,0.014782215,0.016249281,0.019981599,0.815734957,0.288196249,2.861377225,27.56372556,2,3.07327499,4.553271682,5.985266123,0,17.6879916,253956.9618,7650414.767,30.12484758
Tula,19,Hidalgo,9.403717449,0.005063151,55.45695822,,7.62E-05,83.19885036,0,1,0.539042451,0,1.017834193,0.444104447,0.19047619,8.88651299,13.93895698,5.407137533,0.266652401,0.012911243,-0.005361269,80.90853101,1.48205026,22.5873395,0.076416936,0.45996024,0.394330182,1.410557617,72868,0.320185095,-0.102362635,0.743661324,2669.762615,5477.950195,283.4783496,0.071939023,0.204203675,0.248676231,0.023122837,0.031936888,0.04433805,0.83320056,0.26528263,5.391464671,17.86706315,2,1.513689919,4.673171829,-36.39238653,0,11.52807125,212681.8475,179968958.8,846.188619
Tulancingo,18,Hidalgo,7.984049544,0,55.45695822,,0.875950595,43.8744057,0.097430282,0,0.904036853,0,23.37326032,0.416047072,0.228855721,7.385245828,12.92175162,4.071865267,0.134760845,0.167756382,0.12285863,76.01617548,2.835849789,22.94507807,0.075743882,0.346163651,0.444060462,1.596809909,108837,0.175608426,-0.176748914,0.791752655,3697.777435,4493.163574,47.40711711,0.114125783,0.118698174,0.301519074,0.023122837,0.055712403,0.082167686,0.59826918,0.202711958,4.524294742,17.96411147,2,1.268821472,3.916480211,-1.117766936,0,13.74443826,250499.4476,6847283.511,27.33452539
Pachuca,17,Hidalgo,5.179705388,0.195546693,55.45695822,,0.746439916,35.06321553,0.007559619,1,0.533530485,0,12.25309931,0.503825076,0.394230769,9.212476011,12.36603462,8.565012838,0.363688723,0.036551307,-0.019761618,78.39687831,1.488237958,30.96456301,0.04058914,0.353395002,0.444277236,3.514800085,124232,0.421867511,-0.078710663,0.974743453,4070.863138,6314.923828,144.9976406,0.097494008,0.110511614,0.256206372,0.023122837,-0.035845474,0.055242911,0.860651364,0.367766115,11.77766344,19.05391625,2,1.992360413,5.533370957,-2.534355851,0,22.3081996,540571.2855,33089130.32,61.21140949
Guadalajara,20,Jalisco,18.78774445,0.206273663,61.84983841,5.46,0.385812449,32.82593549,0.374334573,3,0.994760081,0,4.401676913,0.408866404,0.245901639,7.300566442,10.82015494,5.168254961,0.469357566,0.019424915,-0.024508639,87.76810826,1.186397537,18.62164814,0.016920854,0.286632285,0.470740865,2.058634051,862129,0.542744354,-0.047871869,1.52875566,9128.080683,5695.895508,295.2473859,0.213544622,-0.048613103,0.240955268,0.022644609,-0.024505045,0.055500981,0.837206124,0.439840099,4.24584244,16.10068527,3,1.759205531,6.351354493,199.2237686,0,22.39966737,4614710.416,591582996.9,128.1950423
Ocotlan,22,Jalisco,20.62723796,0.242170231,61.84983841,,0.016495732,22.46436853,0.197600938,0,0,0,6.583851995,0.404857718,0.326732673,7.563320584,13.60158685,2.268996175,0.376432675,0.058033994,0.06736354,90.6608854,1.361208103,21.94896876,0.06453692,0.326344907,0.392428686,3.437872993,38276,0.441731571,-0.082894917,1.505914113,5930.159396,5604.373047,184.2756036,0.104051807,-0.065939071,0.103951317,0.022644609,0.041727512,0.039344262,0.716753548,0.279928412,1.237634277,29.56570774,2,1.153149196,4.008654988,143.3593038,0,23.00686563,145438.7643,13209431.21,90.82469361
Puerto Vallarta,21,Jalisco,17.93246819,0.007898765,53.5007108,,0,113.6052575,3.675440518,0,0.651073397,0,9.493150838,0.369297871,0.211981567,3.586493638,13.64474493,3.901523485,0.386455406,-0.032850026,0.060496067,76.27789852,1.075503741,29.2290512,0.032996232,0.337580798,0.487059272,2.665637164,80357,0.4757913,-0.089877902,0.310601954,6085.966037,5587.209961,168.8421812,0.053766668,-0.183442868,0.27207944,0.02248581,-0.038477611,0.059315897,0.821052178,0.365142194,3.87729042,10.420218,2,1.367589466,9.133977409,115.1070593,1,33.32146934,412659.3127,27548862.8,66.75933865
Toluca,23,Mexico,9.063064766,0.150250816,80.56941087,4.32,0.975391244,55.0586741,1.132175589,2,0.608675397,0,3.035340047,0.378616152,0.194379391,8.325485559,15.5069306,5.235366136,0.402446493,0.051547604,-0.034679645,83.18339563,1.83702241,16.84246535,0.039991722,0.29705713,0.399589499,3.856623305,506594,0.446611466,-0.037277322,0.7,5499.108157,5126.628418,374.1986645,0.370488508,0.112308811,0.345701151,0.027727175,0.022541406,0.043225425,0.648223454,0.271189989,4.354770482,20.58472689,1,1.473000412,4.87289299,173.3986046,0,10.73267294,2074353.487,359434967.1,173.2756588
Zamora-Jacona,25,Michoacan,17.11189256,0.075833484,60.72841748,,0,32.87863131,1.091622795,0,0.745735546,0,13.2392559,0.496786738,0.3,11.58941814,15.20086862,4.66687979,0.315326669,-0.068106876,0.064001006,83.77362313,2.265838173,22.17211805,0.074203496,0.458136242,0.448773377,3.500159842,62052,0.385063622,-0.151282974,1.003041777,7345.462555,4736.404297,116.0775504,0.056358267,0.246323866,0.308394226,0.017525947,0.033767125,0.036576633,0.749390834,0.270036619,0.829667518,18.27861251,2,1.480323453,6.804408878,4.900223779,0,28.85267188,257131.1142,12172564.78,47.33991378
