Station_Name,Line,Station_Name,Station_Latitude,Station_Longitude,total_swipes,ADA,Sen_ADA,pADA,pSenADA,tot_routes,ADA,elevator,escalators,bus_connection,parks,libraries,hospitals
181st St & St Nicholas Ave,Broadway-7th Ave,181st St,40.849505,-73.933596,801125,9201,31566,0.011485099,0.039402091,1,FALSE,1,0,7,6,5,0
190th St,8 Avenue,190th St,40.859022,-73.93418,346583,4252,16643,0.012268346,0.048020243,1,FALSE,1,0,2,4,0,0
191st St,Broadway-7th Ave,191st St,40.855225,-73.929412,632153,5592,25860,0.00884596,0.040907818,1,FALSE,1,0,2,4,4,0
34th St & 8th Ave,8 Avenue,34th St,40.752287,-73.993391,6015183,38413,169430,0.006386007,0.028167057,3,TRUE,1,0,5,6,2,0
47-50th Sts Rockefeller Center,6 Avenue,47-50th Sts Rockefeller Center,40.758663,-73.981329,4272848,23485,120190,0.005496334,0.02812878,4,TRUE,1,0,18,3,2,0
57th St & 7th Ave,Broadway,57th St,40.764664,-73.980658,2167200,16158,78706,0.007455703,0.036316907,3,FALSE,1,0,4,4,9,0
66th St-Lincoln Center,Broadway-7th Ave,66th St-Lincoln Center,40.77344,-73.982209,1764824,19600,111106,0.011105923,0.062955853,1,TRUE,1,0,7,10,2,0
72nd St & Broadway,Broadway-7th Ave,72nd St,40.778453,-73.98197,2994505,34846,168523,0.011636648,0.056277415,3,TRUE,1,0,7,3,2,0
8th Av,Canarsie,8th Av,40.739777,-74.002578,3341827,21235,79356,0.006354309,0.023746292,4,TRUE,1,0,4,8,6,0
96th St & Broadway,Broadway-7th Ave,96th St,40.793919,-73.972323,2905004,45296,185533,0.015592405,0.063866693,3,TRUE,1,0,3,5,1,1
Brooklyn Bridge-City Hall,Lexington,Brooklyn Bridge-City Hall,40.712868,-74.004806,2398329,18952,81156,0.007902169,0.03383856,5,TRUE,1,0,18,8,3,0
Canal St,Lexington,Canal St,40.718803,-74.000193,1589147,32246,97915,0.020291389,0.061614816,7,TRUE,1,0,1,7,2,0
Chambers St,Broadway-7th Ave,Chambers St,40.715478,-74.009266,1605503,10318,44194,0.006426646,0.027526576,5,TRUE,1,0,10,11,8,0
Dyckman St,Broadway-7th Ave,Dyckman St,40.860531,-73.925536,534000,6323,23951,0.011840824,0.04485206,1,FALSE,1,0,1,4,1,0
Inwood - 207th St,8 Avenue,Inwood - 207th St,40.868072,-73.919899,628787,8460,27676,0.013454477,0.044014905,1,TRUE,1,0,5,4,1,0
125th St & Broadway,Broadway-7th Ave,125th St,40.815581,-73.958372,586593,6160,23513,0.010501319,0.040084011,1,FALSE,0,1,3,7,1,0
145th St,8 Avenue,145th St,40.824783,-73.944216,1771493,15146,39952,0.00854985,0.022552728,4,FALSE,0,1,2,2,1,0
34th St & 6th Ave,6 Avenue,34th St,40.749719,-73.987823,9005012,59100,246546,0.006563012,0.027378753,7,TRUE,0,1,9,5,4,0
59th St,Lexington,59th St,40.762526,-73.967967,4676573,31083,151656,0.006646534,0.032428875,6,FALSE,0,1,4,1,10,1
5th Av-53rd St,Queens Boulevard,5th Av-53rd St,40.760167,-73.975224,1777835,6285,44392,0.003535199,0.024969696,2,FALSE,0,1,6,2,5,0
7th Av,Queens Boulevard,7th Av,40.762862,-73.981637,1210579,4958,25030,0.004095561,0.020676057,3,FALSE,0,1,3,3,14,0
Bowery,Nassau,Bowery,40.72028,-73.993915,262156,5626,12519,0.021460504,0.047754009,2,FALSE,0,1,1,6,1,0
Delancey St,6 Avenue,Delancey St,40.718611,-73.988114,1658357,14190,47611,0.008556662,0.028709741,4,FALSE,0,1,3,7,2,0
East Broadway,6 Avenue,East Broadway,40.713715,-73.990173,1003099,18529,61340,0.018471756,0.061150495,1,FALSE,0,1,1,2,4,0
Lexington Av,63rd Street,Lexington Av,40.764627,-73.96611,537463,3496,16050,0.006504634,0.029862521,1,TRUE,0,1,4,3,4,1
Lexington Av,Broadway,Lexington Av,40.76266,-73.967258,2613456,15157,85368,0.0057996,0.032664793,6,FALSE,0,1,4,5,4,0
Park Place,Clark,Park Place,40.713051,-74.008811,3791960,19929,91960,0.005255593,0.024251311,6,FALSE,0,1,27,8,9,0
Wall St,Clark,Wall St,40.706821,-74.0091,1539541,6633,37923,0.004308427,0.024632666,2,FALSE,0,1,0,11,5,0
Whitehall St,Broadway,Whitehall St,40.703087,-74.012994,1617744,14422,41873,0.008914884,0.025883576,2,FALSE,0,1,5,10,7,0
