country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Egypt,65.5,69.1,76.9,76.3,76.1,73.1,72.2,73.3,75.4,71.2,62,53.5,50.6,53.8
Libya,69.1,74.9,76.8,82.8,91.1,97.5,96.9,85.4,75.7,62.8,52.1,44.2,43.1,45.5
Morocco,68.9,74.7,85.5,97.6,97.7,90.9,81.2,75.6,70.3,63.8,54.9,47.7,42.6,40.9
Sudan,82.6,84.5,86.5,88.3,90.6,92.8,93.8,92,88.1,84.6,82.1,80.4,76.7,72.1
Tunisia,72.3,76.7,82.4,91.3,89.2,82.9,76.8,69.7,64.2,55.7,46.3,38,33.7,33.8
Western Sahara,77.8,65.3,61.4,62.6,70.1,89.5,61.4,64.7,65.8,61.7,52.5,45,38.3,36.1
Southern Africa,67.5,71.5,75.2,78.2,78.4,77.7,76.8,74,69.4,61.7,58.9,53.6,49.9,46.1
Botswana,74.6,79.4,90.4,100.5,98,94,91.2,90.5,85,74.3,64.8,57.9,52.2,49.7
Lesotho,74.1,78,81.7,83.4,85,86.6,85.9,86.7,84.8,78.6,76,71.2,64.9,60.3
Namibia,67.8,72.8,76.2,78.8,80.9,84.8,93.3,94.9,82.3,77,71.9,70,65.1,61.4
South Africa,66.7,70.7,74.2,77.1,77.2,76.3,75.1,71.8,67.3,59.4,57,51.7,48.3,44.5
Swaziland,79.2,83.3,86.8,90.9,94.4,97.5,100.6,101,97.7,95.9,85,76.1,67.2,63.2
Western Africa,74.9,75.1,75.7,77.6,79.8,82.3,84.6,87.2,87.2,84.9,82.9,82.6,82.7,82.2
Benin,61.7,65.5,68.3,74.2,80,84.7,87.8,89.8,90.8,88.1,87.9,84.5,80.9,76.7
Burkina Faso,71.1,72,73.3,76.4,80.3,83.8,89,93.3,95.5,94.5,92.7,91.3,90.4,87.6
Cabo Verde,54.6,63.9,79.8,99.3,102.2,103.2,98.7,89.6,92.5,91.1,84.7,66.9,51.2,45.1
Côte d'Ivoire,78.9,74.1,74.3,77.6,82.6,85.4,87.4,86.8,85.1,81.7,80.9,83.1,81.8,77.9
Gambia,72.9,65.5,66.3,68.7,71.8,79.1,86.7,91.4,90.2,91.9,89.3,89.9,90.7,89.7
Ghana,86.1,83.7,83.2,83.5,87.9,89.6,88.5,85.5,82,78.6,74.6,71.3,68.1,67.2
Guinea,64.4,68.6,72,75.3,73.9,73.8,76,79.8,83.1,84.5,84.5,83.4,80.9,78.2
Guinea-Bissau,63.7,69.6,71.2,72.3,70.6,72.7,77,83.1,86.6,86.9,82.7,78.4,75,72.8
Liberia,74.7,73.7,73.8,77.8,80.5,83.2,85.7,87.5,86.7,83.2,80.6,80.7,80.9,77.4
Mali,66.7,70.4,71.7,74.6,76,79,83.6,88,94.2,93.5,92.6,92.3,93.8,95.1
Mauritania,79.9,80.2,83.5,87.4,89.4,88.9,87.6,86.1,85.2,82.8,79.5,75.6,73.4,70.5
Niger,99.7,96.3,95,96.8,96.2,95.3,93.9,95.2,95.4,94.6,96.7,101.3,105.1,107.5
Nigeria,75.5,74.9,74.9,76,78,80.6,82.6,86.1,85.9,83.3,81,81.1,82.3,82.6
Senegal,75.6,77.5,80.4,84.5,84.2,85.2,92.3,95.5,94.4,90.5,87.2,83.6,82,82.1
Sierra Leone,68.5,67.3,66.4,66.1,67.6,71,75.9,81,84.1,84,83,81.9,80.6,77.1
Togo,75.9,78.1,79.8,82.2,85.4,88.9,91.6,92.3,91,89.1,84,80.1,78.7,76.8
ASIA,61.5,66,70.5,73.9,73.2,71.5,65.6,59.1,55.4,52.6,47.7,41.5,37.6,36
Eastern Asia,57.6,64,67.8,69.6,68.3,67.1,57.7,46.5,41.8,39.7,35.1,27.2,23.3,23.3
China,56.1,65,70.8,74.6,73.1,71.9,61,48.3,43.8,41.9,36.7,27.7,23.4,23.5
"China, Hong Kong SAR",45.2,57,72.6,69.3,62.8,49.8,37,33.6,30.8,27.4,24,19.2,16.1,16.4
"China, Macao SAR",38.5,51.3,68.2,76.1,70.1,47.3,37.2,37,37.3,38.3,32.7,22.9,15.9,16.7
Dem. People's Republic of Korea,81.2,67.1,63.9,61.2,75.3,69.7,60.3,47.5,38.9,39.9,38.2,36.4,33.1,30.5
Japan,59.3,54.7,47,37.9,35,35.9,35,31.7,26.3,23.1,21.4,20.8,20.8,21.1
Mongolia,51.2,55.4,63.6,78.7,86.9,91,84.3,78.7,73,67.1,56.5,43,38.9,41.7
Republic of Korea,77.8,71.5,73.9,80.2,77.2,65.4,54.5,45.8,36.9,32.3,29.2,25.7,22.3,19.2
Other non-specified areas,73.2,79.2,80,76.6,72.9,62,51.1,45.9,40.8,35.1,30.4,26.7,21.9,18.4
South-Central Asia,64.7,67.2,71.5,75.7,75.4,73.6,71.5,70.4,68.7,65.1,59.6,53.8,49.4,45.4
Central Asia,53.3,50.1,62.1,79.6,80,73.2,66.3,65,65.6,64.7,58,48.4,43.2,44
Kazakhstan,58.1,51.2,62.4,69.7,65.9,58,52.7,51.5,50.2,47.2,42.2,36.4,35,40.1
Kyrgyzstan,45.9,47.3,64.3,79.7,80,73.6,65,64.1,65.4,65.9,58.7,49.1,45.7,48.8
Tajikistan,54.7,54.1,69.6,90.3,96,91.2,81.9,80.1,83.1,85.5,80.1,66.2,58.1,56
Turkmenistan,53.5,55.5,71.4,87.1,89.4,83.5,76,72.9,72.6,70.2,61.1,52.1,43.9,41.7
Uzbekistan,50.5,47.9,57.9,88.6,92.3,84.8,75.8,73.5,74.3,72.5,63,51.1,43.9,42.7
Southern Asia,65.1,67.9,71.9,75.6,75.2,73.6,71.8,70.6,68.8,65.1,59.6,54,49.6,45.4
Afghanistan,73.1,74.4,76.6,79,83.2,86.4,89,93.7,96.7,95.8,98.7,94.7,94.9,82.3
Bangladesh,75.2,73.5,75.5,80,85.8,87,86.1,82.4,77.6,70.4,62.7,56.3,50.8,44.9
Bhutan,81.7,74.5,73.6,73.7,76.9,76.1,77.9,81.4,81.5,83.3,73.1,55.2,46,39.5
India,63.1,66.7,71.2,74.8,73.2,71,68.7,67.3,65.1,61.8,57.1,52.5,48.3,43.9
Iran (Islamic Republic of),62.1,69.8,80.2,86.5,83.8,81,81.4,87.9,88.5,78.1,57.4,37.7,32.8,33.1
Maldives,75.4,64.9,65.1,76.1,90.1,88.4,87.2,90.6,95.6,92.1,73.3,54,43.2,40.5
Nepal,64.9,67.8,70.4,74.1,72.8,73,74.9,76.9,78.6,76,74.3,71.4,64.2,52.9
Pakistan,74.6,70.5,69.3,72.6,78.8,81.2,80.6,79.6,81,80.1,75,66.3,60.9,57.9
Sri Lanka,73.6,76,78.6,75.8,71.9,64.7,60.1,56.2,51.4,45.8,39.9,37.9,37.8,37.2
South-Eastern Asia,67.2,69.6,76,82.5,83.2,79.5,74.2,68.2,62,56.6,50.2,46.3,41.9,39.3
Brunei Darussalam,62.1,70.7,82.8,92.8,80.5,71.2,65.9,63.3,54.9,51.2,45.5,39.9,35.5,31.9
Cambodia,76.7,82.8,88.4,92.3,87.8,82.9,73.1,77.5,83.8,92,75.2,62.3,52.9,49.2
Indonesia,68.9,66.6,70.5,77.4,80.8,78.8,74.2,68.1,60.9,54.1,47.5,45.8,43.6,41.2
Lao People's Democratic Republic,70.4,73.6,76.2,77.2,77.1,78.2,85.2,85.4,84.6,85.1,81.5,72.6,62.3,56.6
Malaysia,75.7,80.4,89.1,92.2,86.2,78.4,67.9,66.1,62.6,58.9,53,46,40.2,35.2
Myanmar,56.8,63.9,72.2,79.1,78.6,76.9,74.7,71.1,64.7,57.4,50.4,47.7,45.7,41.1
Philippines,82.5,89.8,94.2,95.8,90.2,84.9,80.3,76.2,73.2,69.6,66.1,62.4,54,50.3
Singapore,70.8,73.4,79,81.4,67,52.1,39.7,34.5,29.4,31.2,30.1,26.4,23.5,21.4
Thailand,77.1,75.5,79.2,82.5,83.8,78.6,69.4,56.9,46.3,40.3,34.5,31.6,26.7,24.7
Timor-Leste,72.2,74.3,75.4,75,75.5,73.4,66,67.8,67.1,76.8,104.8,98.1,75.8,81.5
Viet Nam,49.9,58.5,72.8,85.2,86.1,81.2,75.9,70.5,65.7,60.8,51.1,41,33.9,32.9
Western Asia,65.7,69.7,75.7,80.6,79.3,77.8,76.1,73.2,70.5,65.6,59.9,54.1,48.4,46.4
Armenia,57,53.5,69.6,78.9,70.9,57.4,47.8,46.8,47.4,47.5,40.3,32.9,29.8,26
Azerbaijan,53.2,50.2,70.2,88.4,88.2,73.7,57.4,52.4,55.5,55.3,49.1,38.5,31.9,30.3
Bahrain,77.2,76.5,74.1,91.5,85,68,54.5,52.6,50.2,44.9,45.9,37.7,25.2,28.2
Cyprus,58,58,64,58,52.5,44.3,38.1,38.2,39.5,37.2,33.2,28.8,25.1,23.4
Georgia,42.6,39.9,46,52.1,50.1,45,39.6,38,37.3,37.3,33.4,27.4,24.6,25.2
Iraq,62.5,71,74.8,83.7,86.8,93.5,95.5,92.7,91.2,85,80.2,76.9,76.3,73.2
Israel,49.1,57.4,61.9,59.7,54,54.6,56.6,56.1,52.2,47.4,45.4,44.8,43.7,45.7
Jordan,92.4,86.5,83,87.6,90.2,95,102.5,95.5,91.5,72.2,68.4,64,61.6,58.5
Kuwait,59.3,58.7,57.3,61.7,80.7,85.4,69.9,59,54.8,43.9,39.2,36.7,31.6,29.5
Lebanon,58.5,67.7,79.4,85.4,79,72,70.3,63.3,56.9,50.6,44.6,43.2,34.9,35.4
Oman,77.5,78.8,81.8,86.8,91.6,89.6,86.4,87.7,86.2,68.3,61.5,53.7,37.5,26.7
Qatar,77.8,74.7,74.3,66.4,58.4,51.3,52.1,41.5,40.3,36.7,35.8,31.2,15.8,18.6
Saudi Arabia,76.9,78.5,81,82.6,84.5,84.1,84.8,78.5,76.3,74.5,62.4,52.5,45.5,41.7
State of Palestine,91.4,91.8,93,97,103.6,107.2,104.1,99.8,98.5,98.6,95.9,87.9,77.4,70.8
Syrian Arab Republic,68.5,81.9,93.3,100.7,97.9,98.4,100.8,99.5,93.7,82.6,73.2,66.8,58.5,63.1
Turkey,68.5,73.9,78.6,82.2,78.1,74.8,72.5,67.5,61.2,54.1,48.5,44.2,40.7,38.4
United Arab Emirates,77.8,81.3,86.1,65.1,55.2,40.3,39.7,47.1,45,36.9,34.7,22.5,15.5,16.4
Yemen,78.7,78.9,78.5,77.3,84.6,95.8,103.4,108.5,113.3,107.5,100,88.5,77,70.7
EUROPE,40.1,38.9,41.9,41.4,39.4,36.5,33.8,31.7,30.6,28.8,25.8,23.3,22.6,23.6
Eastern Europe,43.6,41,46.4,44.6,39.1,34.8,33.8,34.6,34.5,31.7,26.3,21.8,20.8,22.9
Belarus,40.6,38.4,46,50.2,46.8,39.6,34.4,34,34.4,32.8,27.2,22.4,20.9,23
Bulgaria,40.3,40.2,39.2,35.9,33.8,33.3,33.5,32.3,30.5,26.7,23.1,19.8,19.8,21.5
Czech Republic,36.1,40.6,39.6,34.8,31.9,33.8,37.1,36.3,32.8,27.4,23.5,20.7,20.3,22.5
Hungary,37.1,38.9,38.6,35.3,30.9,30,34.1,32.7,30.8,26.7,24.7,22.5,21.3,21.5
Poland,44.9,48.8,55.6,51.6,42.7,36.1,36.6,39,38.9,35.1,28.5,23.2,20.9,21.5
Republic of Moldova,43.7,44.1,51.2,57.3,52.2,44.9,40.8,41.7,43.8,41.3,34.9,25.9,22.5,21.2
Romania,42.8,42,44.9,41.4,39.5,38.9,42.5,38.5,36.1,31,27.3,23.1,23.2,23.1
Russian Federation,45.7,40.6,47.8,46.1,39.7,33.9,31.6,33.3,34.3,32.2,26.3,21.4,20.7,24
Slovakia,44.6,48.8,50.9,49.5,43.2,40.4,41.2,41.3,39.5,34.3,28.5,23.5,21,21.3
Ukraine,41.8,37.1,41.5,41.2,36.8,34,32.2,32.6,31.5,29.5,24.5,21.1,19.8,21.4
Northern Europe,36,37,37.3,36.8,38,37.1,33.3,30.1,29.7,30.2,29.1,27.1,26.5,27.4
Channel Islands,32.2,32.6,32.9,33.2,33.6,30.9,27.4,24,23.3,24.6,25.1,23.6,22.2,21.6
Denmark,40.7,41.7,39.3,36.7,36.1,35.3,32.2,27.7,25.3,25.8,27.7,28.3,27.5,26.3
Estonia,40.1,35.9,34.8,34.3,33.3,32.8,32.8,33.2,33.5,31.3,26.1,22.3,22.5,24.7
Finland,46.8,49.2,48.8,41.9,37.2,32.7,30,28.5,28.7,28.5,27.1,26,24.9,25.9
Iceland,49.5,56.2,61.1,60.5,55.7,49.5,43.9,41.2,38.7,38,35.7,33.3,31.3,30.8
Ireland,47.4,49.7,53.3,53.2,52.8,53.2,51.6,50.4,44.8,37.4,31.4,29.1,30.4,33.5
Latvia,39.9,35.6,33.1,33.3,32.6,31.7,30.8,31.6,32.1,31.5,26.6,21.7,21,22.7
Lithuania,43.2,41.6,41.8,42.9,43,39.4,35.7,34.1,33.9,33,29.5,25.1,21.8,21.8
Norway,36.6,40,41.1,39.1,39.1,38.1,35.1,31.1,29.3,30.2,30.9,29.9,28.4,27.3
Sweden,35.1,36.5,34.1,31.5,31.8,32.2,30.6,28.1,27.9,29.6,28.7,26.7,25.3,27.5
United Kingdom,33.7,34.8,35.6,36.1,38.5,37.6,32.8,29.1,29.1,30.1,29.3,27.3,26.8,27.6
Southern Europe,42.7,41.4,42.4,41.9,41.9,40.7,37.6,33,28.7,25.3,23.3,22.3,22.1,22.2
Albania,70.2,70.3,73.8,78.3,75.9,69.2,61.2,56.1,52.9,53.6,48.3,40.4,31.7,26.9
Bosnia and Herzegovina,65,61.1,64.3,61.9,56.8,51.3,43.2,38.3,34.9,31.7,27.5,22.6,20.4,19
Croatia,40.9,40.7,42,38.8,34.5,32.6,31.3,30.4,28.8,27.2,25.8,23.5,23.1,22.5
Greece,44.4,39.9,40.4,38.6,38.9,37.4,35.5,32.4,28.6,24.6,22.3,22.1,22,22.8
Italy,40.9,38.2,38.3,37.6,38.4,37.9,33.9,28.2,24,21.9,21.2,21.2,21.4,21.5
Malta,58.9,67.2,76.4,61.9,47,39.1,36,36.7,36.4,33.7,30.9,26.5,24.1,21.8
Montenegro,64.3,58.8,59,59.5,55,48.4,42.3,38.8,38.4,35.1,32,30.2,29.3,27.6
Portugal,46.7,45.7,46.5,46.7,46.6,44,41,36.7,31.1,26.4,23.7,22.9,22.5,21.6
Serbia,43.7,45.3,47,43,37.8,37.2,37.4,36.7,35.7,33.2,31.6,28.4,25.5,24.5
Slovenia,42,42.8,42.8,39.9,36.5,36.3,35.8,33.2,30.2,26.2,22.6,19.9,20.1,22
Spain,40,40.8,42.4,43.6,45.1,44,41.1,36.1,30,24.5,21.5,20.7,21.4,22.4
TFYR Macedonia,63.2,64.3,66.3,63.3,55.5,50.3,46.7,41.6,39.3,37.2,33,29.3,25.7,24
Western Europe,35.1,34.6,36.7,38,38.5,36,31.1,26.7,25.9,26.2,25.4,24.6,24.1,23.9
Austria,34.1,33.8,33.9,36.8,40,37.6,31.9,26.7,24.8,26.4,24.8,23.6,21.8,21.2
Belgium,30.7,33.3,37.2,37.9,37.4,34.6,30.5,27.6,27,27.2,26.8,25.9,25.4,26.1
France,34.3,38,42.3,40.8,39.7,37.9,34.5,31.6,30,29.7,28.9,28.4,28.6,29.6
Germany,34.6,30.8,32,35.4,37,34.2,28.3,22.9,23,23.5,22.5,21.4,20.5,19.6
Luxembourg,28.4,28.2,31.2,33.7,34,31,27.7,24.7,25.1,27.2,28.3,27.8,25.8,23.6
Netherlands,46.3,48.5,49.3,45.7,43.9,40.3,34.1,28.4,26.2,26.7,27.2,27,25.9,25.3
Switzerland,35.1,36.9,36.8,36.8,36.5,34.9,30.2,26.1,24.9,26.1,25.9,24,22.1,22
LATIN AMERICA AND THE CARIBBEAN,71.8,75.2,79,81.4,79.5,75.8,70.9,66.4,61.5,56.2,51.1,46.7,42.4,38.6
Caribbean,69.6,70.6,72.8,76.2,76.5,72.9,63.5,57.6,53.5,51.6,48.4,44.3,41,38.2
Antigua and Barbuda,68.6,68.3,80.5,77.9,72,65.3,54.7,46.4,47.7,47.3,45.9,44,39.4,35.2
Aruba,78,81.5,81.7,74.2,63.6,50.5,39.8,36,36.2,33.6,33.5,30.7,30.2,26.4
Bahamas,69.7,72.3,78.7,81.3,77.4,72.1,62.8,57.5,51.3,49,44.9,37.5,32,29.6
