Zip Code ,Zip Square Footage,Total population,Total population - Male,EstimatTotal population - Female,Population density,Population 16 years and over,Total population - White alone,Total population - Black or African American alone,Total population - Asian alone,Total population - Hispanic or Latino (of any race),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total households,Mean household income (dollars),Median earnings for workers (dollars),Residential Units,Total units,Non-residential units,AverageAge
10065,9853398,32797,14184,18613,3.33,29203,26700,885,2819,1707,1868,1048,568,501,1814,7869,5660,511,1589,1580,3798,1949,820,17867,214581,81352,,,,42
10075,4198244,24849,10280,14569,5.92,21896,20582,341,1448,1928,1146,756,960,388,849,5438,3930,574,1679,2088,2972,1279,720,13735,189081,75425,,,,43
10128,10947994,60121,25724,34397,5.49,51897,44424,2257,5800,6435,3072,2456,2235,1781,3302,13758,9174,724,3411,3360,5059,3337,1214,31345,167623,68761,,,,39
10280,4016851,8685,4233,4452,2.16,7112,5308,75,2002,1044,793,494,286,97,325,1454,2151,542,485,512,503,158,0,4190,167317,86992,,,,36
10301,109045427,38885,19500,19385,0.36,30963,16636,8669,2056,10530,2937,2274,2286,3263,3472,5322,5180,472,2284,2042,2254,1470,584,14101,75422,37555,,,,34
10302,30999266,16811,8145,8666,0.54,12862,5608,3246,967,6515,1358,1305,1059,1079,1178,2566,2323,284,945,935,806,611,384,5669,70132,36424,,,,34
10303,79992206,24537,11419,13118,0.31,18625,4491,8263,1746,9506,1855,1733,1953,1963,2190,3723,3337,373,1326,1037,1054,555,176,8086,65878,38318,,,,31
10304,109629959,43084,20075,23009,0.39,33905,14548,12035,4485,11002,2753,3130,2839,3176,3731,6024,5001,497,2480,2208,3007,1757,804,14807,77659,33976,,,,35
10305,106428327,42006,20242,21764,0.39,34182,28750,1372,5113,6099,2495,2433,2379,2279,2793,5784,5787,551,2909,2514,3304,1916,972,14867,83935,42647,,,,38
10306,187925648,55902,26875,29027,0.3,45662,43201,1555,2966,7781,3037,3048,3540,3546,3392,6957,7147,570,3537,3399,4927,2892,1351,20526,93591,48564,,,,39
10307,45985809,14829,7315,7514,0.32,11311,12831,91,486,1290,946,1036,1288,1120,1030,1597,2264,383,703,627,1139,344,119,4828,109555,50315,,,,33
10308,62261384,28939,13864,15075,0.46,23979,25082,46,899,2803,1316,1659,1654,1828,1849,3324,3896,585,2215,1764,2575,1303,530,10420,105080,46557,,,,39
10309,203574752,32646,16473,16173,0.16,25627,27175,526,1224,3510,1701,2655,2151,2023,1978,4260,5438,585,2304,1887,2147,685,320,10756,105948,52310,,,,35
10310,50010116,25227,12487,12740,0.5,19150,10631,6032,1361,6891,1546,1818,2288,2402,1695,3127,3622,444,1351,1211,1264,621,375,8438,82052,41136,,,,32
10312,178968530,60081,30010,30071,0.34,48821,50953,316,3077,5286,2879,3463,3968,3751,3841,6999,8457,670,4529,5072,5414,2356,685,21243,101227,48869,,,,38
10314,454979821,87276,41432,45844,0.19,70655,59706,3419,12099,10811,5286,4892,5478,5208,5082,10450,11988,662,6785,6020,6966,4191,2254,30868,91434,44996,,,,39
10451,29476616,47069,21045,26024,1.6,35462,868,16773,887,27514,3903,3942,3110,3665,4346,6752,5850,549,1683,2396,2857,1703,513,17529,36560,21119,26457,27674,1217,32
10452,27987808,74931,35135,39796,2.68,55224,849,21114,1118,50818,6414,6252,5974,6250,6120,11777,10527,627,3852,3335,3416,1504,306,24701,36082,19776,38996,39944,948,30
10453,25707989,79793,37659,42134,3.1,59968,1026,22462,1079,54112,6367,5904,6297,7083,7264,11924,10645,619,4241,3349,3577,1192,519,25624,35381,17542,14619,15640,1021,30
10454,30733387,38089,18151,19938,1.24,27655,784,9095,368,27528,3389,3143,3273,3486,3446,5272,5223,536,1780,1222,1823,1264,296,12467,31814,17875,15942,17183,1241,30
10455,24734587,38576,17958,20618,1.56,27854,794,8948,95,28472,3578,3378,3014,2906,3395,6591,4823,465,1673,1323,2116,960,332,13228,32350,20609,24710,25532,822,30
10456,29634851,87723,41312,46411,2.96,65423,1244,32971,812,51646,7107,7072,6538,7778,7600,13367,11696,812,4530,3129,4847,1987,825,28349,34753,20003,31763,32788,1025,31
10457,37043300,70282,32833,37449,1.9,51587,1188,20619,1003,46419,6690,5626,5293,6783,6564,10228,8550,700,3293,2255,3066,1704,480,22570,36595,19843,22062,23149,1087,29
10458,39842566,74859,35375,39484,1.88,56747,9026,13936,2589,48114,6218,5381,5435,6774,8084,11715,10635,688,3573,2913,3454,1475,411,25329,39384,20156,17580,18715,1135,30
10459,22597685,47977,22748,25229,2.12,34054,673,12492,257,33784,4315,3853,4884,4471,3848,6914,6265,504,2208,2035,2086,1268,300,15402,35421,21528,19435,20323,888,29
10460,42409228,56084,26378,29706,1.32,41056,1353,13215,1142,39521,4716,4336,4860,5410,4451,8438,6593,589,2605,2263,2824,1425,421,19128,34517,21628,16457,17800,1343,30
10461,62437413,51730,25227,26503,0.83,42340,21574,3453,5384,20205,3204,2398,3086,2993,3473,8200,7198,672,2989,2285,3842,2944,1424,19330,67093,37902,30591,32001,1410,38
10462,42470517,77369,36156,41213,1.82,60613,10269,19733,9310,36251,5830,5155,5017,4614,5212,12328,11582,801,4680,3749,5039,2618,1046,28908,55062,33680,25035,25979,944,34
10463,36441540,70420,32184,38236,1.93,56764,23019,8327,2570,34818,5062,3812,3919,3871,4520,10651,9531,610,4350,3786,5666,3968,2257,27261,76188,35853,433,442,9,38
