Zip Code ,Zip Square Footage,Total population,Total population - Male,EstimatTotal population - Female,Population density,Population 16 years and over,Total population - White alone,Total population - Black or African American alone,Total population - Asian alone,Total population - Hispanic or Latino (of any race),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total households,Mean household income (dollars),Median earnings for workers (dollars),Residential Units,Total units,Non-residential units,AverageAge
11372,30510372,63320,31734,31586,2.08,53332,11630,778,11835,37519,3619,3048,2708,3040,4563,11675,9711,825,3760,3474,4302,2162,1076,24220,62316,27967,31084,32860,1776,37
11373,20269212,99159,50558,48601,4.89,82277,7339,1407,48211,40348,5953,4899,5071,5131,7716,18380,17197,937,6219,4750,6523,2996,928,31651,62530,26491,18705,19382,677,35
11374,42944909,42297,20358,21939,0.98,35910,21722,940,10642,7553,2421,2118,1584,1432,2103,7838,5704,556,3755,2822,3545,2218,1137,19056,74469,43113,28096,29582,1486,41
11375,25323375,69757,32444,37313,2.75,58901,40526,1925,17216,8409,3986,3437,2887,2673,2818,10493,11698,696,4572,4381,5857,4538,2458,32079,94345,55059,28307,29962,1655,41
11377,55685970,86316,43070,43246,1.55,71882,18304,2157,31252,32922,4796,4783,4080,4439,6095,17468,14688,764,4835,4468,5084,2913,1186,31532,63139,30821,0,4,4,35
11378,73002094,32268,15626,16642,0.44,26458,19558,389,3087,8865,2062,1645,1727,1520,2091,5231,4926,356,2187,2033,2289,1301,807,12619,69726,39191,4966,5187,221,38
11379,67651395,35822,17248,18574,0.53,30208,26435,384,2984,5874,1573,1889,1857,1803,1729,4763,5345,496,2497,2486,3447,2034,1097,13648,83856,44985,26403,28588,2185,41
11385,56758399,99379,49011,50368,1.75,79114,44483,1465,6709,45714,6805,5743,6553,6256,7890,16439,14671,828,6259,4628,5881,3339,1272,34622,64260,32281,0,0,0,34
11411,123928557,18722,8610,10112,0.15,16128,272,16860,341,857,715,889,813,1416,1259,1918,2499,312,1371,1351,1956,1039,373,6108,93660,40851,,,,41
11412,32412885,37176,16560,20616,1.15,30052,369,32234,885,2462,2036,2181,2465,2780,2778,4612,4835,472,2253,2059,2729,1624,686,11034,80374,34357,2477,2694,217,36
11413,47737541,40385,18168,22217,0.85,32467,489,36308,605,2005,2159,2347,2730,2864,3041,5216,5203,492,2306,2616,3040,1958,558,12114,89814,37779,,,,37
11414,85000125,28094,12911,15183,0.33,23421,20612,686,696,5495,1407,1756,1295,1253,1156,3321,3818,558,2186,1932,2952,2126,1145,11059,84024,43871,8784,9101,317,43
11415,64965652,19145,8974,10171,0.29,16015,9273,1570,3136,4848,1100,820,1037,858,1148,3998,2418,365,1315,1264,1669,691,434,8466,78864,46055,7098,7704,606,38
11416,16671446,25950,12967,12983,1.56,20284,3050,1259,9556,10717,1790,1943,1602,2117,2209,3881,4165,380,1431,1053,1446,604,286,7127,71675,30004,9157,9891,734,32
