GID,,Pos,Name,Team,Opponent,Home/Away,Salary,Salary Change,Points,GP,Pts_Game,Pts_G_$,Pts_G(alt),Bye week,PLAYS,RUN,RYD,RTD,TARGETS,REC,PYDS,PTD,FUM,INT,PERF,LAST,Connections
2642,15,RB,"Forsett, Justin",bal,jac,H,6000,6000,115.4,8,14.43,2.4,0,9,184,147,615,2,37,31,153,0,0,0,0,0,26
2500,16,RB,"Williams, DeAngelo",pit,cle,H,6500,1000,110.2,9,12.24,1.88,41.5,11,123,107,534,5,16,13,137,0,0,0,1,41.5,20
2645,17,RB,"Johnson, Chris",ari,sea,A,4600,4600,106.2,8,13.28,2.89,0,9,150,141,676,3,9,5,56,0,2,0,0,0,28
2629,18,RB,"Charles, Jamaal",kan,den,A,0,0,106.1,5,21.22,0,0,9,100,71,364,4,29,21,177,1,2,0,0,0,24
2889,19,RB,"Bernard, Giovani",cin,hou,H,4700,-100,102.6,8,12.83,2.73,9.6,7,118,91,511,2,27,21,155,0,0,0,0,9.6,24
2603,20,RB,"McFadden, Darren",dal,tam,A,4900,600,101.8,8,12.73,2.6,16.2,6,156,130,494,2,25,24,193,0,0,0,1,16.2,27
2997,21,RB,"Johnson, Duke",cle,pit,A,4000,0,101.8,9,11.31,2.83,11.8,11,105,63,189,0,42,39,387,2,0,0,0,11.8,26
2830,22,RB,"Vereen, Shane",nyg,ne,H,4300,-100,100.3,9,11.14,2.59,14.3,11,85,41,174,0,44,34,309,3,0,0,1,14.3,29
2993,23,RB,"Yeldon, T.J.",jac,bal,A,4800,0,95.9,7,13.7,2.85,13.1,8,159,133,531,1,26,24,125,1,0,0,1,13.1,17
2907,24,RB,"Riddick, Theo",det,gb,A,3300,3300,94.1,8,11.76,3.56,0,9,73,20,64,0,53,45,373,2,1,0,0,0,29
2754,25,RB,"Mathews, Ryan",phi,mia,H,3500,-200,93.6,8,11.7,3.34,12.7,8,91,75,427,5,16,14,119,1,2,0,1,12.7,28
2707,26,RB,"McCoy, LeSean",buf,nyj,A,5500,0,89.6,6,14.93,2.72,22.9,8,139,113,528,2,26,18,177,1,1,0,1,22.9,13
2721,27,RB,"Blount, LeGarrette",ne,nyg,A,4900,100,89.4,7,12.77,2.61,21.9,4,108,105,476,5,3,4,37,1,0,0,1,21.9,27
2777,28,RB,"Starks, James",gb,det,H,4900,700,89.1,8,11.14,2.27,24.2,7,118,93,376,1,25,25,221,2,1,0,1,24.2,4
2612,29,RB,"Stewart, Jonathan",car,ten,A,4300,0,88.4,8,11.05,2.57,7.8,5,181,169,662,4,12,8,33,0,1,0,0,7.8,28
5372,30,RB,"Williams, Karlos",buf,nyj,A,3800,-200,85.2,5,17.04,4.48,26,8,66,58,360,5,8,6,72,2,0,0,1,26,13
2933,31,RB,"Hyde, Carlos",sfo,,H,0,-4200,84.3,7,12.04,0,0,10,130,115,470,3,15,11,53,0,0,0,0,0,23
2931,32,RB,"Sims, Charles",tam,dal,H,3500,-100,82.2,8,10.28,2.94,8.2,6,94,66,302,0,28,22,251,2,2,0,0,8.2,25
5395,33,RB,"Johnson, David",ari,sea,A,3400,3400,80.7,8,10.09,2.97,0,9,47,25,109,3,22,14,208,2,1,0,0,0,28
2658,34,RB,"Jennings, Rashad",nyg,ne,H,3800,-100,80.6,9,8.96,2.36,5.7,11,115,96,369,1,19,17,162,1,1,0,0,5.7,29
