zip,total,sub10k,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-60,60-75,75-100,100-125,125-150,150-200,above200
10968,1165,65,0,0,10,0,20,15,51,44,78,98,245,180,26,125,208
10969,538,8,24,0,42,16,0,23,69,0,62,41,21,80,26,23,103
10970,3476,67,93,31,152,109,98,95,199,59,248,497,511,404,249,323,341
10973,814,65,33,0,38,36,5,4,11,0,49,114,80,165,9,140,65
10974,1103,10,27,44,22,22,24,58,17,40,55,142,173,121,105,164,79
10975,188,0,0,0,0,0,64,0,0,0,19,11,35,27,0,0,32
10976,673,90,83,28,57,41,33,0,40,38,19,49,18,21,45,62,49
10977,14796,797,959,819,684,642,787,678,635,490,793,1377,1885,1407,646,1258,939
10979,87,0,0,0,0,0,0,0,0,0,0,63,24,0,0,0,0
10980,4532,59,93,146,160,133,115,182,118,104,271,379,594,596,429,587,566
10983,1857,24,24,0,49,42,33,27,22,5,59,120,242,253,270,398,289
10984,920,6,0,0,60,5,0,8,40,21,26,37,142,150,130,192,103
10985,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
10986,633,23,0,0,10,9,0,0,7,10,15,56,155,96,77,62,113
10987,1363,26,32,18,41,48,53,29,34,17,66,123,200,223,122,176,155
10988,341,19,6,8,8,19,16,19,13,3,9,56,65,73,10,8,9
10989,3491,24,70,83,95,47,122,94,99,109,151,274,440,677,324,535,347
10990,7347,271,195,142,328,222,225,223,122,155,395,794,1156,745,664,774,936
10992,3294,71,119,143,125,102,196,66,77,52,152,363,520,436,427,285,160
10993,1526,69,28,74,137,66,67,77,10,58,97,94,351,153,118,76,51
10994,2307,27,13,129,89,55,50,43,29,27,91,169,138,274,318,348,507
10996,777,12,5,0,0,3,22,12,32,19,66,106,127,79,94,98,102
10998,866,28,27,36,0,9,10,8,34,57,29,62,136,161,80,106,83
11001,9047,260,94,207,376,203,155,336,293,272,464,680,1147,1104,754,1361,1341
11003,12048,262,462,413,217,384,440,409,301,351,716,1052,1899,1647,1207,1107,1181
11004,5065,177,137,135,205,210,232,171,264,162,255,426,700,485,601,536,369
11005,1619,18,74,96,119,41,37,58,109,56,185,174,208,209,69,58,108
11010,8044,196,267,257,197,182,244,256,287,271,494,564,1015,1078,1011,934,791
11020,1955,44,18,44,31,20,42,18,45,59,104,136,213,148,267,274,492
11021,7476,337,277,373,269,184,252,161,201,296,430,489,803,590,397,678,1739
11023,3111,207,26,95,28,67,54,22,50,63,205,312,313,361,345,312,651
11024,2205,151,19,15,23,17,66,135,54,94,115,225,298,181,167,177,468
11030,5798,54,136,202,106,50,75,145,104,77,216,350,455,304,469,523,2532
11040,12983,194,248,279,341,264,356,339,333,384,692,1103,1543,1800,1498,1874,1735
11042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11050,11048,309,168,275,372,427,168,422,182,192,410,1036,1206,1013,807,1221,2840
11096,2490,197,172,82,97,141,112,90,175,132,175,284,401,149,67,163,53
11101,11494,1473,922,529,728,675,482,358,335,313,872,609,1307,934,426,759,772
11102,13834,1097,709,822,725,701,871,654,566,749,961,1336,1501,1031,782,835,494
11103,16351,951,658,823,829,670,819,786,764,767,1435,1868,2287,1373,882,808,631
11104,11519,709,651,570,767,563,494,501,483,435,890,1227,1636,954,649,572,418
11105,15571,1152,650,768,655,708,544,462,836,643,1323,1870,1766,1592,1011,988,603
11106,17011,1712,1099,968,918,609,533,655,903,740,1336,1655,2169,1510,884,797,523
11109,2418,213,36,0,16,0,36,42,23,30,102,108,334,168,321,195,794
11201,24889,1419,901,650,899,571,700,686,671,551,1215,1680,2599,2354,1724,2620,5649
11203,27164,2998,1514,1423,1529,1459,1335,1588,1414,1152,1963,2564,3418,1997,1213,1003,594
11204,24873,1971,1744,2081,1584,1519,1170,898,1344,968,2006,2420,2568,1637,1069,1112,782
11205,15090,1886,1157,935,841,916,610,550,527,394,783,1156,1568,1033,918,839,977
11206,28980,5046,3051,2566,1990,1604,1703,1221,1274,1269,1564,2084,2049,1408,853,865,433
11207,31648,6189,2706,1804,2088,1830,1496,1696,1640,1104,2328,2609,2751,1814,710,613,270
11208,29020,5979,1828,2228,1466,1536,1623,1498,1574,1180,1998,2489,2510,1320,887,540,364
11209,30916,2373,1461,1763,1384,1351,1133,968,1313,1166,2561,2751,3738,2579,1746,2315,2314
11210,21906,1596,936,906,933,973,1205,1014,1180,953,1916,2317,2880,1732,1112,1256,997
11211,36422,3756,3525,2298,1602,1709,1677,1148,1215,1054,2101,3089,3720,2788,1840,2248,2652
11212,30685,6199,3387,2499,1853,2215,1722,1695,1368,1074,2038,2134,2317,1020,377,485,302
11213,23671,3785,2311,1619,1326,1412,1428,1317,1293,738,1999,1961,2169,791,683,592,247
11214,31315,2836,2325,1777,1783,1734,1642,1707,1688,1076,2480,3160,3298,2207,1496,1274,832
11215,28984,1168,842,451,548,547,703,684,929,704,1813,2417,3845,2915,2395,3558,5465
11216,23210,2698,1773,1261,1202,961,1403,1088,1131,855,2041,2089,2462,1724,700,1082,740
11217,16691,1143,673,579,523,596,464,519,491,344,809,1195,2021,1560,1350,1611,2813
11218,24829,2022,1606,1497,1464,1030,1190,1047,954,914,1408,2327,3511,2156,1144,1361,1198
11219,26611,2456,2703,2235,2254,1892,1743,1588,1401,915,1724,2421,2040,1221,783,701,534
11220,29622,2932,2544,2300,2374,2245,1549,1439,1592,1313,2025,2443,2729,1743,892,880,622
11221,28794,4635,1973,2031,1694,1809,1106,1197,1242,1359,2078,2682,2858,1793,967,813,557
11222,16662,1263,724,740,607,594,751,497,576,538,1289,1517,2691,1785,1174,1042,874
11223,27283,3140,2002,1977,1723,1534,1650,1375,1394,981,1947,2498,2563,1784,921,881,913
11224,18153,3717,2077,1437,1371,788,610,763,943,537,1235,1263,1124,809,501,686,292
11225,22790,2165,1567,1620,1214,1435,1192,1153,1433,859,1873,2424,2557,1285,836,533,644
11226,35998,4077,2287,2424,1948,2036,2224,1917,2168,1348,3172,3900,3622,1983,1257,1086,549
11228,15244,684,727,964,686,543,648,615,578,475,1380,1336,1822,1313,1211,1167,1095
11229,30987,2639,2160,1557,2060,1383,1193,1551,1194,1165,2376,2956,3334,2639,1804,1490,1486
11230,30228,3732,2474,2146,1725,1452,1712,1418,1213,950,1784,2736,3027,1810,1170,1370,1509
11231,15275,1747,636,432,532,462,425,416,417,270,746,980,1620,1485,1068,1597,2442
11232,8700,643,445,544,597,648,516,566,420,452,756,774,1029,582,306,221,201
11233,26412,4521,2584,1996,1617,1292,1320,1263,1336,995,1781,2184,2050,1540,794,719,420
11234,32314,1769,991,1293,1267,1214,1638,1299,1474,1049,2262,3492,4263,3429,2316,2763,1795
11235,32104,5137,2621,1587,1706,1697,1629,1035,1087,797,1844,2601,3214,2652,1531,1413,1553
11236,31920,2623,1231,1359,1121,1325,1479,1445,1625,1239,2484,3365,4731,2953,1773,2147,1020
11237,16683,2121,927,1141,1063,789,1089,882,804,903,1106,1559,1764,1046,600,624,265
11238,22943,1568,1007,1137,995,515,815,967,777,805,1490,1925,3460,2181,1835,1833,1633
11239,6355,1235,1015,355,402,321,197,288,440,472,339,668,336,146,55,28,58
11351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11354,19695,1886,1074,1150,1137,1362,1104,786,1012,738,1545,1955,2421,1140,965,716,704
11355,27852,3359,1800,1837,2211,1708,1508,1345,1278,1181,2015,2574,2530,1839,986,1075,606
11356,7546,395,182,303,463,301,299,284,424,391,801,702,1309,726,251,437,278
11357,15131,591,434,659,609,671,760,516,492,349,922,1682,1998,1796,1406,1253,993
11358,13160,768,547,495,513,554,597,491,485,411,994,1492,1779,1479,692,1044,819
11359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360,8573,470,191,356,429,151,270,392,221,234,622,723,993,1066,625,995,835
11361,10691,442,344,504,401,355,361,365,301,382,770,927,1575,1353,751,1097,763
11362,6973,313,200,223,202,487,151,126,147,225,503,634,1173,871,572,672,474
11363,2589,44,35,55,43,36,114,56,158,65,172,197,527,371,185,208,323
11364,13232,633,544,598,514,398,489,484,543,357,1015,1231,1962,1649,873,1074,868
11365,15382,1280,681,650,921,624,781,801,626,326,1081,1516,2218,1400,879,877,721
11366,4310,318,158,160,117,90,188,131,157,93,350,483,493,477,245,486,364
11367,14585,1121,909,712,793,722,436,544,822,454,1337,1443,1626,1298,821,982,565
11368,29031,2017,1642,1879,1930,2236,1374,1601,1831,1568,2476,2819,3613,2206,886,590,363
11369,11603,708,341,637,687,608,755,691,502,560,782,1429,1680,846,560,559,258
11370,8650,802,350,459,417,415,331,354,382,431,739,641,1303,700,453,607,266
11371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11372,24346,1767,1133,1711,1834,1193,2059,1031,1205,897,1988,2545,3104,1544,952,607,776
11373,31788,2265,1854,2067,1783,2140,1570,1610,1576,1264,2869,3664,3093,2440,1168,1232,1193
11374,19415,1656,1120,898,1214,777,1027,897,1125,863,1508,1674,2373,1597,997,1073,616
11375,31731,1685,1324,1407,1106,884,1099,1021,1009,1331,2518,3243,4136,3221,2273,2780,2694
11377,31473,1982,1534,1846,1531,1792,1938,1908,1656,1712,2621,3642,3704,2365,1336,1068,838
11378,12505,1080,528,636,578,706,504,544,699,408,886,1533,1727,910,662,664,440
