Name,ELA_NumTested,ELA_L1,ELA_L2,ELA_L3,ELA_L4,ELA_meanscore,M_NumTested,M_L1,M_L2,M_L3,M_L4,M_meanscore
GRAND CONCOURSE CHARTER SCHOOL,187,26,95,58,8,310.1337,187,16,71,71,29,316.7594
GREAT OAKS CHARTER SCHOOL,78,23,35,15,5,299,78,11,24,21,22,320.1923
GROWING UP GREEN CHARTER SCHOOL,243,70,96,64,13,300.9506,242,50,75,70,47,312.7686
HARBOR SCIENCE AND ARTS CHARTER SCHOOL,163,18,63,63,19,315.411,163,32,58,58,15,310.6871
HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER SCHOOL,522,180,228,98,16,295.5843,521,103,223,126,69,308.7486
HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,398,97,196,87,18,301.3693,397,80,137,124,56,312.8237
HARLEM LINK CHARTER SCHOOL,149,60,65,22,2,290.5705,148,18,58,56,16,312.8581
HARLEM PREP CHARTER SCHOOL,379,98,174,95,12,301.5963,378,55,175,114,34,309.1905
HARLEM VILLAGE ACADEMY CHARTER SCHOOL,275,109,127,36,3,289.1127,275,75,135,55,10,301.6873
HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,277,91,124,55,7,294.3899,276,50,127,86,13,309.2826
HARRIET TUBMAN CHARTER SCHOOL,428,147,186,80,15,295.6425,428,97,171,121,39,305.9206
HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,221,54,98,62,7,303.4027,222,42,63,54,63,316.2207
HELLENIC CLASSICAL CHARTER SCHOOL,307,31,151,91,34,312.4788,307,25,104,104,74,323.1238
HYDE LEADERSHIP CHARTER SCHOOL,452,186,204,56,6,288.9071,453,147,171,107,28,299.3024
HYDE LEADERSHIP CHARTER SCHOOL- BROOKLYN,131,49,60,19,3,293.9237,131,35,68,23,5,295.8626
ICAHN CHARTER SCHOOL,212,28,100,62,22,310.5519,211,16,75,64,56,323.8009
ICAHN CHARTER SCHOOL 2,199,11,78,84,26,318.8291,199,7,51,84,57,329.2312
ICAHN CHARTER SCHOOL 4,138,21,60,42,15,311.9203,139,2,18,54,65,338.7194
ICAHN CHARTER SCHOOL 5,68,7,15,33,13,324.0294,68,3,16,31,18,326.5147
ICAHN CHARTER SCHOOL 6,32,5,8,18,1,315.1563,32,1,13,13,5,320.375
IMAGINE ME LEADERSHIP CHARTER SCHOOL,84,48,25,11,0,278.6667,84,37,27,18,2,286.25
INNOVATE MANHATTAN CHARTER SCHOOL,164,73,67,18,6,284.2073,164,94,60,7,3,281.7195
INVICTUS PREPARATORY CHARTER SCHOOL,239,102,99,34,4,288.0251,239,50,104,61,24,308.2343
INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,442,207,183,42,10,284.8937,441,181,180,64,16,293.2358
JOHN W. LAVELLE PREPARATORY CHARTER SCHOOL,318,120,151,42,5,289.6887,285,79,125,64,17,300.8807
KINGS COLLEGIATE CHARTER SCHOOL,282,48,155,65,14,302.9291,285,34,107,97,47,317.9053
KIPP ACADEMY CHARTER SCHOOL,432,134,208,79,11,294.5069,432,74,136,158,64,314.1852
KIPP AMP CHARTER SCHOOL,345,127,164,45,9,290.829,345,110,147,75,13,298.7594
KIPP INFINITY CHARTER SCHOOL,446,93,216,110,27,303.3004,447,42,140,160,105,323.4183
KIPP STAR COLLEGE PREP CHARTER SCHOOL,330,126,142,54,8,291.2424,327,107,120,74,26,301.2722
KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,199,61,90,38,10,298.3166,197,33,65,72,27,313.6244
LA CIMA CHARTER SCHOOL,160,64,58,34,4,292.7813,160,27,55,57,21,310.8375
LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,204,117,74,10,3,276.0539,203,136,55,12,0,276.9803
LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP CHARTER SCHOOL,343,48,145,101,49,313.7376,342,29,88,123,102,326.0994
LEADERSHIP PREP CANARSIE CHARTER SCHOOL (LEADERSHIP PREP CS 4),81,26,41,11,3,295.5309,82,23,39,16,4,301.5
LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL,217,51,104,51,11,302.6682,218,34,61,66,57,321.0092
LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL,214,35,61,80,38,316.4393,213,21,28,38,126,343.8357
LEFFERTS GARDENS CHARTER SCHOOL,148,69,57,21,1,286.3919,149,66,58,20,5,284.8725
MANHATTAN CHARTER SCHOOL,117,34,53,24,6,301.4103,120,12,39,49,20,317.9417
MERRICK ACADEMY - QUEENS PUBLIC CHARTER SCHOOL,243,72,121,44,6,297.6337,243,77,91,55,20,299.5556
METROPOLITAN LIGHTHOUSE CHARTER SCHOOL,159,55,80,21,3,292.3208,158,52,74,25,7,295.5443
MIDDLE VILLAGE PREP CHARTER SCHOOL,116,16,66,20,14,305.181,116,1,35,38,42,328.5517
MOTT HALL CHARTER SCHOOL,144,71,57,14,2,284.6528,144,70,65,7,2,288.7708
MOTT HAVEN ACADEMY CHARTER SCHOOL,124,35,60,28,1,299.5565,125,13,50,46,16,313.968
NEW HEIGHTS ACADEMY CHARTER SCHOOL,393,160,178,44,11,289.0483,393,151,171,58,13,294.9669
NEW HOPE ACADEMY CHARTER SCHOOL,175,71,67,34,3,294,176,72,71,23,10,291.9432
NEW WORLD PREPARATORY CHARTER SCHOOL,316,116,151,44,5,291.1234,317,93,123,84,17,302.4322
NEW YORK CITY MONTESSORI CHARTER SCHOOL,48,30,16,2,0,275.8125,49,29,16,3,1,278.0816
NEW YORK FRENCH AMERICAN CHARTER SCHOOL,96,36,35,20,5,295.6667,107,33,38,27,9,297.8505
OCEAN HILL COLLEGIATE CHARTER SCHOOL,258,53,129,60,16,304.1744,256,31,88,89,48,321.2695
OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,470,85,191,150,44,308.7404,452,74,161,133,84,315.9535
PAVE ACADEMY CHARTER SCHOOL,186,45,82,48,11,302.914,185,23,63,57,42,316.5946
PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL,151,45,65,31,10,301.2781,151,22,66,42,21,309.9139
RENAISSANCE CHARTER SCHOOL,262,63,119,64,16,301.4809,263,61,97,67,38,309.654
RIVERTON STREET CHARTER SCHOOL,279,58,124,79,18,306.4624,279,37,102,70,70,317.8638
ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,65,24,27,12,2,294.1538,64,14,36,13,1,295.7969
SISULU-WALKER CHARTER SCHOOL OF HARLEM,93,33,40,18,2,297.1183,93,12,45,24,12,311.0323
