Location Name,BEDS Number,Zip
High School of Graphic Communication Arts,310200011625,10019
Art and Design High School,310200011630,10019
Life Sciences Secondary School,310200011655,10128
Lower Manhattan Community Middle School,310200010896,10004
City Knoll Middle School,310200010933,10001
P.S. 009 Sarah Anderson,310300010009,10024
J.H.S. 054 Booker T. Washington,310300010054,10025
P.S. 075 Emily Dickinson,310300010075,10025
P.S. 076 A. Philip Randolph,310300010076,10027
P.S. 084 Lillian Weber,310300010084,10025
P.S. 087 William Sherman,310300010087,10024
"P.S. 145, The Bloomingdale School",310300010145,10025
P.S. 149 Sojourner Truth,310300010149,10026
P.S. 163 Alfred E. Smith,310300010163,10025
P.S. 165 Robert E. Simon,310300010165,10025
P.S. 166 The Richard Rodgers School of The Arts and Technology,310300010166,10024
P.S. 180 Hugo Newman,310300010180,10027
P.S. 185 - The Early Childhood Discovery and Design Magnet School,310300010185,10026
P.S. 191 Amsterdam,310300010191,10023
P.S. 199 Jessie Isador Straus,310300010199,10023
P.S. 208 Alain L. Locke,310300010208,10026
STEM Institute of Manhattan,310300010241,10026
P.S. 242 - The Young Diplomats Magnet Academy,310300010242,10027
M.S. 243 Center School,310300010243,10024
M.S. M245 The Computer School,310300010245,10024
M.S. M247 Dual Language Middle School,310300010247,10025
M.S. 250 West Side Collaborative Middle School,310300010250,10025
M.S. 256 Academic & Athletic Excellence,310300010256,10025
Community Action School - MS 258,310300010258,10025
West End Secondary School,310300011291,10023
"High School for Arts, Imagination and Inquiry",310300011299,10023
"Urban Assembly School for Media Studies, The",310300011307,10023
P.S. 333 Manhattan School for Children,310300010333,10025
The Anderson School,310300010334,10024
The Urban Assembly School for Green Careers,310300011402,10024
The Global Learning Collaborative,310300011403,10024
Innovation Diploma Plus,310300011404,10024
Wadleigh Secondary School for the Performing & Visual Arts,310300011415,10026
Frank Mccourt High School,310300011417,10024
West Prep Academy,310300010421,10025
P.S. 452,310300010452,10024
Beacon High School,310300011479,10036
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,310300011485,10023
"High School for Law, Advocacy and Community Justice",310300011492,10023
High School of Arts and Technology,310300011494,10023
Edward A. Reynolds West Side High School,310300011505,10025
Manhattan / Hunter Science High School,310300011541,10023
Special Music School,310300011859,10023
Frederick Douglass Academy II Secondary School,310300011860,10026
Mott Hall II,310300010862,10025
P.S. 007 Samuel Stern,310400010007,10035
Tag Young Scholars,310400010012,10029
River East Elementary,310400010037,10035
P.S. 38 Roberto Clemente,310400010038,10029
P.S. 050 Vito Marcantonio,310400010050,10029
James Weldon Johnson,310400010057,10029
The Lexington Academy,310400010072,10029
P.S. 083 Luis Munoz Rivera,310400010083,10029
P.S. 096 Joseph Lanzetta,310400010096,10035
P.S. 102 Jacques Cartier,310400010102,10029
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,310400010108,10029
P.S. 112 Jose Celso Barbosa,310400010112,10035
P.S. 146 Ann M. Short,310400010146,10029
P.S. 155 William Paca,310400010155,10035
P.S. 171 Patrick Henry,310400010171,10029
The Bilingual Bicultural School,310400010182,10029
P.S. 206 Jose Celso Barbosa,310400010206,10035
M.S. 224 Manhattan East School for Arts & Academics,310400010224,10029
Esperanza Preparatory Academy,310400010372,10029
Mosaic Preparatory Academy,310400010375,10029
Renaissance School of the Arts,310400010377,10035
Global Neighborhood Secondary School,310400011381,10035
Global Technology Preparatory,310400010406,10035
Coalition School for Social Change,310400011409,10035
Manhattan Center for Science and Mathematics,310400011435,10029
Park East High School,310400011495,10029
Central Park East I,310400010497,10029
Central Park East High School,310400011555,10029
Young Women's Leadership School,310400011610,10029
"Heritage School, The",310400011680,10029
Isaac Newton Middle School for Math & Science,310400010825,10029
Central Park East II,310400010964,10029
P.S. 030 Hernandez/Hughes,310500010030,10035
P.S. 036 Margaret Douglas,310500010036,10027
P.S. 046 Arthur Tappan,310500010046,10039
P.S. 092 Mary McLeod Bethune,310500010092,10030
P.S. 123 Mahalia Jackson,310500010123,10030
P.S. 125 Ralph Bunche,310500010125,10027
P.S. 129 John H. Finley,310500010129,10027
P.S. 133 Fred R Moore,310500010133,10037
Eagle Academy for Young Men of Harlem,310500011148,10030
P.S. 154 Harriet Tubman,310500010154,10027
The Urban Assembly School for Global Commerce,310500011157,10035
P.S. 161 Pedro Albizu Campos,310500010161,10027
P.S. 175 Henry H Garnet,310500010175,10030
P.S. 194 Countee Cullen,310500010194,10030
P.S. 197 John B. Russwurm,310500010197,10037
P.S. 200- The James Mccune Smith School,310500010200,10039
Harlem Renaissance High School,310500011285,10035
I.S. M286 Renaissance Leadership Academy,310500010286,10027
KAPPA IV,310500010302,10030
Mott Hall High School,310500011304,10030
Thurgood Marshall Academy Lower School,310500010318,10039
Columbia Secondary School,310500011362,10027
Academy for Social Action: A College Board School,310500011367,10027
Urban Assembly School for the Performing Arts,310500011369,10027
The Urban Assembly Institute for New Technologies,310500010410,10027
Choir Academy of Harlem,310500011469,10035
Frederick Douglass Academy,310500011499,10039
New Design Middle School,310500010514,10027
Teachers College Community School,310500010517,10027
Thurgood Marshall Academy for Learning and Social Change,310500011670,10030
Bread & Roses Integrated Arts High School,310500011685,10030
"High School for Mathematics, Science and Engineering at City College",310500011692,10031
P.S. 004 Duke Ellington,310600010004,10032
P.S. 005 Ellen Lurie,310600010005,10034
P.S. 008 Luis Belliard,310600010008,10032
P.S. 018 Park Terrace,310600010018,10034
P.S. 028 Wright Brothers,310600010028,10032
P.S. 048 P.O. Michael J. Buczek,310600010048,10033
J.H.S. 052 Inwood,310600010052,10034
P.S. 098 Shorac Kappock,310600010098,10034
Dos Puentes Elementary School,310600010103,10033
P.S. 115 Alexander Humboldt,310600010115,10033
P.S. 128 Audubon,310600010128,10032
P.S. 132 Juan Pablo Duarte,310600010132,10033
J.H.S. 143 Eleanor Roosevelt,310600010143,10033
P.S. 152 Dyckman Valley,310600010152,10040
P.S. 153 Adam Clayton Powell,310600010153,10031
P.S. 173,310600010173,10033
Professor Juan Bosch Public School,310600010178,10040
P.S./I.S. 187 Hudson Cliffs,310600010187,10040
P.S. 189,310600010189,10040
P.S. 192 Jacob H. Schiff,310600010192,10031
Hamilton Grange Middle School,310600010209,10031
P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,310600010210,10031
Inwood Early College for Health and Information Technologies,310600011211,10034
I.S. 218 Salome Urena,310600010218,10040
The Mott Hall School,310600010223,10027
Paula Hedbavny School,310600010278,10034
City College Academy of the Arts,310600011293,10040
Amistad Dual Language School,310600010311,10034
Muscota,310600010314,10034
M.S. 319 - Maria Teresa,310600010319,10032
Middle School 322,310600010322,10040
M.S. 324 - Patria Mirabal,310600010324,10032
P.S. 325,310600010325,10031
M.S. 326 - Writers Today & Leaders Tomorrow,310600010326,10032
M.S. 328 - Manhattan Middle School for Scientific Inquiry,310600010328,10032
Community Health Academy of the Heights,310600011346,10032
Washington Heights Expeditionary Learning School,310600011348,10033
Harbor Heights,310600010349,10033
Washington Heights Academy,310600010366,10034
Hamilton Heights School,310600010368,10031
High School for Excellence and Innovation,310600011423,10034
The College Academy,310600011462,10040
High School for Media and Communications,310600011463,10040
High School for Law and Public Service,310600011467,10040
High School for Health Careers and Sciences,310600011468,10040
Castle Bridge School,310600010513,10032
I.S. 528 Bea Fuller Rodgers School,310600010528,10033
A. Philip Randolph Campus High School,310600011540,10031
Gregorio Luperon High School for Science and Mathematics,310600011552,10032
P.S. 001 Courtlandt School,320700010001,10451
P.S. 5 Port Morris,320700010005,10455
P.S. 018 John Peter Zenger,320700010018,10451
P.S. 025 Bilingual School,320700010025,10455
P.S./M.S. 029 Melrose School,320700010029,10451
P.S. 030 Wilton,320700010030,10454
P.S./M.S. 031 The William Lloyd Garrison,320700010031,10451
P.S. 043 Jonas Bronck,320700010043,10454
P.S. 049 Willis Avenue,320700010049,10454
P.S. 065 Mother Hale Academy,320700010065,10454
J.H.S. 151 Lou Gehrig,320700010151,10451
P.S. 154 Jonathan D. Hyatt,320700010154,10454
P.S. 157 Grove Hill,320700010157,10456
P.S. 161 Juan Ponce De Leon School,320700010161,10455
J.H.S. 162 Lola Rodriguez De Tio,320700010162,10455
P.S. 179,320700010179,10454
South Bronx Preparatory: A College Board School,320700011221,10454
M.S. 223 The Laboratory School of Finance and Technology,320700010223,10454
P.S./I.S. 224,320700010224,10454
"H.E.R.O. High (Health, Education, and Research Occupations High School)",320700011259,10455
P.S. 277,320700010277,10455
South Bronx Academy for Applied Media,320700010296,10456
Academy of Public Relations,320700010298,10456
Crotona Academy High School,320700011321,10455
International Community High School,320700011334,10454
Academy of Applied Mathematics and Technology,320700010343,10454
Concourse Village Elementary School,320700010359,10451
Young Leaders Elementary School,320700010369,10454
Jill Chaifetz Transfer High School,320700011379,10456
Bronx Haven High School,320700011381,10451
Performance School,320700010385,10451
Community School for Social Justice,320700011427,10451
Mott Haven Village Preparatory High School,320700011473,10455
University Heights Secondary School,320700011495,10455
Hostos-Lincoln Academy of Science,320700011500,10455
Foreign Language Academy of Global Studies,320700011520,10455
Bronx Design and Construction Academy,320700011522,10451
Bronx Leadership Academy II High School,320700011527,10451
Pre-K Center District 07,,10455
New Explorers High School,320700011547,10451
Urban Assembly School for Careers in Sports,320700011548,10451
The Urban Assembly Bronx Academy of Letters,320700011551,10451
Mott Haven Community High School,320700011557,10455
Alfred E. Smith Career and Technical Education High School,320700011600,10451
Health Opportunities High School,320700011670,10451
P.S. X014 Senator John Calandra,320800010014,10461
P.S. 036 Unionport,320800010036,10472
P.S. 048 Joseph R. Drake,320800010048,10474
P.S. 062 Inocensio Casanova,320800010062,10455
P.S. 069 Journey Prep School,320800010069,10473
P.S. 071 Rose E. Scala,320800010071,10461
P.S. 072 Dr. William Dorney,320800010072,10465
P.S. 75 School of Research and Discovery,320800010075,10459
P.S. 093 Albert G. Oliver,320800010093,10473
P.S. 100 Isaac Clason,320800010100,10473
M.S. X101 Edward R. Byrne,320800010101,10465
P.S. 107,320800010107,10473
P.S. 119,320800010119,10472
J.H.S. 123 James M. Kieran,320800010123,10472
J.H.S. 125 Henry Hudson,320800010125,10472
P.S. 130 Abram Stevens Hewitt,320800010130,10455
J.H.S. 131 Albert Einstein,320800010131,10473
P.S. 138 Samuel Randall,320800010138,10473
P.S. X140 The Eagle School,320800010140,10456
P.S. 146 Edward Collins,320800010146,10456
P.S. 152 Evergreen,320800010152,10472
P.S. 182,320800010182,10473
Bronx Studio School for Writers and Artists,320800011269,10459
Women's Academy of Excellence,320800011282,10473
Renaissance High School for Musical Theater & Technology,320800011293,10461
M.S. 301 Paul L. Dunbar,320800010301,10456
M.S. 302 Luisa Dessus Cruz,320800010302,10455
P.S. 304 Early Childhood School,320800010304,10465
Pablo Neruda Academy,320800011305,10473
Millennium Art Academy,320800010312,10473
Pelham Lab High School,320800011320,10461
Holcombe L. Rucker School of Community Research,320800011332,10459
P.S. 333 - The Museum School,320800010333,10459
The Academy of the Arts,320800010335,10459
The School for Inquiry and Social Justice,320800010337,10472
Schuylerville Preparatory High School,320800011348,10461
Bronx River High School,320800011349,10461
Urban Assembly Academy of Civic Engagement,320800010366,10465
"Archimedes Academy for Math, Science and Technology Applications",320800011367,10473
Urban Institute of Mathematics,320800010371,10465
The Bronx Mathematics Preparatory School,320800010375,10473
Antonia Pantoja Preparatory Academy: A College Board School,320800011376,10473
Bronx Community High School,320800011377,10473
Bronx Delta School,320800010392,10465
Herbert H. Lehman High School,320800011405,10461
The Hunts Point School,320800010424,10474
Bronx Bridges High School,320800011432,10473
Soundview Academy for Culture and Scholarship,320800010448,10473
Bronx Guild,320800011452,10473
Mott Hall Community School,320800010467,10465
"Felisa Rincon de Gautier Institute for Law and Public Policy, The",320800011519,10473
Banana Kelly High School,320800011530,10459
Bronx Arena High School,320800011537,10473
Westchester Square Academy,320800011558,10461
School for Tourism and Hospitality,320800011559,10456
Bronx Compass High School,320800011561,10473
Blueprint Middle School,320800010562,10472
P.S./M.S. 004 Crotona Park West,320900010004,10457
P.S. 011 Highbridge,320900010011,10452
J.H.S. 022 Jordan L. Mott,320900010022,10456
P.S. 028 Mount Hope,320900010028,10457
P.S. 035 Franz Siegel,320900010035,10451
P.S. 042 Claremont,320900010042,10457
P.S. 053 Basheer Quisim,320900010053,10456
P.S. 055 Benjamin Franklin,320900010055,10456
P.S. 058,320900010058,10457
P.S. 063 Author's Academy,320900010063,10456
P.S. 064 Pura Belpre,320900010064,10452
P.S. 070 Max Schoenfeld,320900010070,10457
P.S. 073 Bronx,320900010073,10452
P.S. X088 - S. Silverstein Little Sparrow School,320900010088,10456
P.S. 109 Sedgwick,320900010109,10453
P.S. 110 Theodore Schoenfeld,320900010110,10456
P.S. X114 - Luis Llorens Torres Schools,320900010114,10452
I.S. 117 Joseph H. Wade,320900010117,10453
P.S. 126 Dr Marjorie H Dunbar,320900010126,10452
Mott Hall III,320900010128,10456
P.S. 132 Garret A. Morgan,320900010132,10456
J.H.S. 145 Arturo Toscanini,320900010145,10456
P.S. 163 Arthur A. Schomburg,320900010163,10457
P.S. 170,320900010170,10452
P.S. 199X - The Shakespeare School,320900010199,10452
P.S. 204 Morris Heights,320900010204,10453
Kappa,320900010215,10456
