Location Name,BEDS Number,Zip
High School of Language and Innovation,321100011509,10469
New World High School,321100011513,10466
The Bronxwood Preparatory Academy,321100011514,10466
One World Middle School at Edenwald,321100010529,10466
Baychester Middle School,321100010532,10466
Pre-K Center District 11,,10462
Pelham Preparatory Academy,321100011542,10469
High School for Contemporary Arts,321100011544,10467
Bronx Aerospace High School,321100011545,10467
Bronx Park Middle School,321100010556,10467
Pelham Gardens Middle School,321100010566,10469
Linden Tree Elementary School,321100010567,10462
P.S. 006 West Farms,321200010006,10460
P.S. 044 David C. Farragut,321200010044,10457
P.S. 047 John Randolph,321200010047,10472
P.S. 050 Clara Barton,321200010050,10460
P.S. 057 Crescent,321200010057,10457
P.S. 061 Francisco Oller,321200010061,10460
P.S. 066 School of Higher Expectations,321200010066,10460
P.S. 067 Mohegan School,321200010067,10460
P.S. 092 Bronx,321200010092,10457
J.H.S. 098 Herman Ridder,321200010098,10460
M.S. 129 Academy for Independent Learning and Leadership,321200010129,10460
P.S. 134 George F. Bristow,321200010134,10459
P.S. 150 Charles James Fox,321200010150,10459
E.S.M.T- I.S. 190,321200010190,10460
P.S. 195,321200010195,10472
P.S. 196,321200010196,10472
P.S. 211,321200010211,10457
P.S. 212,321200010212,10456
P.S. 214,321200010214,10460
School of Performing Arts,321200010217,10459
Mott Hall V,321200010242,10472
"Metropolitan High School, The",321200011248,10459
Explorations Academy,321200011251,10460
Bronx Latin,321200011267,10456
East Bronx Academy for the Future,321200011271,10460
Frederick Douglass Academy V. Middle School,321200010273,10457
Peace and Diversity Academy,321200011278,10459
Fannie Lou Hamer Middle School,321200010286,10460
The School of Science and Applied Learning,321200010300,10457
Fairmont Neighborhood School,321200010314,10460
Kappa III,321200010316,10460
"I.S. X318 Math, Science & Technology Through Arts",321200010318,10457
Accion Academy,321200010341,10457
Urban Assembly School for Wildlife Conservation,321200010372,10460
Emolior Academy,321200010383,10460
Entrada Academy,321200010384,10459
Pan American International High School at Monroe,321200011388,10472
Arturo A. Schomburg Satellite Academy Bronx,321200011446,10459
Samara Community School,321200010458,10460
Urban Scholars Community School,321200010463,10456
The Cinema School,321200011478,10472
Bronx Career and College Preparatory High School,321200011479,10456
Bronx Regional High School,321200011480,10459
Bronx Envision Academy,321200011511,10460
The Metropolitan Soundview High School,321200011521,10472
Archer Elementary School,321200010531,10460
P.S. 536,321200010536,10460
High School of World Cultures,321200011550,10472
Fannie Lou Hamer Freedom High School,321200011682,10460
Wings Academy,321200011684,10460
Bronx Little School,321200011691,10460
Monroe Academy for Visual Arts & Design,321200011692,10472
P.S. 003 The Bedford Village,331300010003,11216
P.S. 008 Robert Fulton,331300010008,11201
P.S. 009 Teunis G. Bergen,331300010009,11238
P.S. 011 Purvis J. Behan,331300010011,11238
P.S. 020 Clinton Hill,331300010020,11205
P.S. 044 Marcus Garvey,331300010044,11221
P.S. 046 Edward C. Blum,331300010046,11205
P.S. 054 Samuel C. Barnes,331300010054,11205
P.S. 056 Lewis H. Latimer,331300010056,11238
P.S. 067 Charles A. Dorsey,331300010067,11205
P.S. 093 William H. Prescott,331300010093,11216
M.S. 113 Ronald Edmonds Learning Center,331300010113,11205
P.S. 133 William A. Butler,331300010133,11217
P.S. 256 Benjamin Banneker,331300010256,11216
Dr. Susan S. McKinney Secondary School of the Arts,331300010265,11205
M.S. K266 - Park Place Community Middle School,331300010266,11216
P.S. 270 Johann DeKalb,331300010270,11205
P.S. 282 Park Slope,331300010282,11217
P.S. 287 Bailey K. Ashford,331300010287,11201
Satellite East Middle School,331300010301,11216
P.S. 305 Dr. Peter Ray,331300010305,11216
P.S. 307 Daniel Hale Williams,331300010307,11201
Satellite West Middle School,331300010313,11201
Urban Assembly High School of Music and Art,331300011350,11201
The Urban Assembly Unison School,331300010351,11238
"Brooklyn Community High School of Communication, Arts and Media",331300011412,11205
"Science Skills Center High School for Science, Technology and the Creative Arts",331300011419,11201
Brooklyn Technical High School,331300011430,11217
Brooklyn International High School,331300011439,11201
The Urban Assembly School for Law and Justice,331300011483,11201
Academy of Arts and Letters,331300011492,11205
ACORN Community High School,331300011499,11238
Urban Assembly Institute of Math and Science for Young Women,331300011527,11201
Brooklyn Academy High School,331300011553,11216
Bedford Stuyvesant Preparatory High School,331300011575,11216
Bedford Academy High School,331300011595,11216
M.S. 596 Peace Academy,331300010596,11205
George Westinghouse Career and Technical Education High School,331300011605,11201
Brooklyn High School for Leadership and Community Service,331300011616,11205
Benjamin Banneker Academy,331300011670,11205
"City Polytechnic High School of Engineering, Architecture, and Technology",331300011674,11201
Fort Greene Preparatory Academy,331300010691,11205
P.S. 016 Leonard Dunkly,331400010016,11211
P.S. 017 Henry D. Woodworth,331400010017,11211
P.S. 018 Edward Bush,331400010018,11206
P.S. 023 Carter G. Woodson,331400010023,11206
P.S. 031 Samuel F. Dupont,331400010031,11222
P.S. 034 Oliver H. Perry,331400010034,11222
J.H.S. 050 John D. Wells,331400010050,11211
P.S. 059 William Floyd,331400010059,11206
Juan Morel Campos Secondary School,331400011071,11206
P.S. 084 Jose De Diego,331400010084,11211
P.S. 110 The Monitor,331400010110,11222
P.S. 120 Carlos Tapia,331400010120,11206
John Ericsson Middle School 126,331400010126,11222
P.S. 132 The Conselyea School,331400010132,11211
P.S. 147 Isaac Remsen,331400010147,11206
P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,331400010157,11205
P.S. 196 Ten Eyck,331400010196,11206
P.S. 250 George H. Lindsay,331400010250,11206
P.S. 257 John F. Hylan,331400010257,11206
P.S. 297 Abraham Stockton,331400010297,11206
I.S. 318 Eugenio Maria De Hostos,331400010318,11206
P.S. 319,331400010319,11211
Foundations Academy,331400011322,11206
The School for the Urban Environment,331400011330,11206
P.S. 380 John Wayne Elementary,331400010380,11206
Brooklyn Arbor Elementary School,331400010414,11211
"Brooklyn Latin School, The",331400011449,11206
Green School: An Academy for Environmental Careers,331400011454,11206
PROGRESS High School for Professional Careers,331400011474,11211
School for Legal Studies,331400011477,11211
"The High School for Enterprise, Business and Technology",331400011478,11211
Brooklyn Preparatory High School,331400011488,11211
Williamsburg High School for Architecture and Design,331400011558,11211
Williamsburg Preparatory School,331400011561,11211
Conselyea Preparatory School,331400010577,11211
M.S. 582,331400010582,11206
Lyons Community School,331400011586,11206
Automotive High School,331400011610,11222
Young Women's Leadership School of Brooklyn,331400011614,11206
Frances Perkins Academy,331400011632,11222
El Puente Academy for Peace and Justice,331400011685,11211
P.S. 001 The Bergen,331500010001,11220
"Magnet School of Math, Science and Design Technology",331500010010,11215
P.S. 015 Patrick F. Daly,331500010015,11231
P.S. 024,331500010024,11232
P.S. 029 John M. Harrigan,331500010029,11201
P.S. 032 Samuel Mills Sprole,331500010032,11231
P.S. 038 The Pacific,331500010038,11217
P.S. 039 Henry Bristow,331500010039,11215
M.S. 51 William Alexander,331500010051,11215
P.S. 058 The Carroll,331500010058,11231
J.H.S. 088 Peter Rouget,331500010088,11215
P.S. 094 The Henry Longfellow,331500010094,11220
P.S. 107 John W. Kimball,331500010107,11215
The Maurice Sendak Community School,331500010118,11215
P.S. 124 Silas B. Dutcher,331500010124,11215
P.S. 130 The Parkside,331500010130,11218
P.S. 131 Brooklyn,331500010131,11219
I.S. 136 Charles O. Dewey,331500010136,11232
P.S. 146,331500010146,11231
The Windsor Terrace School,331500010154,11215
P.S. 169 Sunset Park,331500010169,11232
P.S. 172 Beacon School of Excellence,331500010172,11232
P.S. 230 Doris L. Cohen,331500010230,11218
P.S. 261 Philip Livingston,331500010261,11201
P.S. 295,331500010295,11215
P.S. 321 William Penn,331500010321,11215
Brooklyn Frontiers High School,331500011423,11201
Brooklyn School for Global Studies,331500011429,11201
M.S. 442 Carroll Gardens School for Innovation,331500010442,11231
New Voices School of Academic & Creative Arts,331500010443,11215
The Math & Science Exploratory School,331500010447,11217
Brooklyn Secondary School for Collaborative Studies,331500010448,11231
Secondary School for Law,331500011462,11215
Secondary School for Journalism,331500011463,11215
Park Slope Collegiate,331500011464,11215
School for International Studies,331500011497,11201
Sunset Park Avenues Elementary School,331500010516,11232
Cobble Hill School of American Studies,331500011519,11201
West Brooklyn Community High School,331500011529,11219
Khalil Gibran International Academy,331500011592,11217
Brooklyn High School of the Arts,331500011656,11217
Sunset Park High School,331500011667,11232
Red Hook Neighborhood School,331500010676,11231
Millennium Brooklyn HS,331500011684,11215
South Brooklyn Community High School,331500011698,11231
Pre-K Center District 15,,11215
Sunset Park Prep,331500010821,11232
M.S. 839,331500010839,11218
Pre-K Center at Bishop Ford School Site,,11215
P.S. 005 Dr. Ronald Mcnair,331600010005,11233
P.S. 021 Crispus Attucks,331600010021,11233
P.S. 025 Eubie Blake School,331600010025,11221
P.S. 026 Jesse Owens,331600010026,11221
P.S. 028 The Warren Prep Academy,331600010028,11233
M.S. 035 Stephen Decatur,331600010035,11233
P.S. 040 George W. Carver,331600010040,11233
J.H.S. 057 Whitelaw Reid,331600010057,11221
P.S. 081 Thaddeus Stevens,331600010081,11221
P.S. 243K- The Weeksville School,331600010243,11213
P.S. 262 El Hajj Malik El Shabazz Elementary School,331600010262,11233
"M.S. 267 Math, Science & Technology",331600010267,11221
P.S. 308 Clara Cardwell,331600010308,11221
P.S. 309 The George E. Wibecan Preparatory Academy,331600010309,11221
P.S. 335 Granville T. Woods,331600010335,11213
"School of Business, Finance and Entrepreneurship",331600010385,11221
Frederick Douglass Academy IV Secondary School,331600010393,11221
Boys and Girls High School,331600011455,11213
Brooklyn High School for Law and Technology,331600011498,11221
Upper School @ P.S. 25,331600010534,11221
M.S. 584,331600010584,11213
Gotham Professional Arts Academy,331600011594,11233
Brighter Choice Community School,331600010627,11206
Brooklyn Brownstone School,331600010628,11233
Young Scholars' Academy for Discovery and Exploration,331600010636,11206
Research and Service High School,331600011669,11213
Madiba Prep Middle School,331600010681,11221
The Brooklyn Academy of Global Finance,331600011688,11221
Nelson Mandela High School,331600011765,11213
Parkside Preparatory Academy,331700010002,11226
P.S. 006,331700010006,11226
Dr. Jacqueline Peek-Davis School,331700010012,11233
M.S. 061 Dr. Gladstone H. Atwell,331700010061,11225
P.S. 091 The Albany Avenue School,331700010091,11203
P.S. 092 Adrian Hegeman,331700010092,11226
Pathways in Technology Early College High School (P-Tech),331700011122,11213
P.S. 138 Brooklyn,331700010138,11216
P.S. 161 The Crown,331700010161,11225
P.S. 167 The Parkway,331700010167,11213
P.S. 181 Brooklyn,331700010181,11203
P.S. 189 The Bilingual Center,331700010189,11212
P.S. 191 Paul Robeson,331700010191,11233
P.S. 221 Toussaint L'Ouverture,331700010221,11213
P.S. 241 Emma L. Johnston,331700010241,11225
M.S. 246 Walt Whitman,331700010246,11226
P.S. 249 The Caton,331700010249,11226
P.S. 289 George V. Brower,331700010289,11213
P.S. 316 Elijah Stroud,331700010316,11238
Middle School for Academic and Social Excellence,331700010334,11213
I.S. 340,331700010340,11238
Ebbets Field Middle School,331700010352,11225
Elijah Stroud Middle School,331700010353,11238
The School of Integrated Learning,331700010354,11213
P.S. 375 Jackie Robinson School,331700010375,11225
Academy for College Preparation and Career Exploration: A College Board School,331700011382,11226
M.S. K394,331700010394,11213
P.S. 397 Foster-Laurie,331700010397,11203
P.S. 398 Walter Weaver,331700010398,11212
P.S. 399 Stanley Eugene Clark,331700010399,11226
Academy of Hospitality and Tourism,331700011408,11226
Ronald Edmonds Learning Center II,331700010484,11233
W.E.B. Dubois Academic High School,331700011489,11225
International High School at Prospect Heights,331700011524,11225
The High School for Global Citizenship,331700011528,11225
"School for Human Rights, The",331700011531,11203
New Bridges Elementary,331700010532,11213
School for Democracy and Leadership,331700011533,11203
High School for Youth and Community Development at Erasmus,331700011537,11226
High School for Service & Learning at Erasmus,331700011539,11226
"Science, Technology and Research Early College High School at Erasmus",331700011543,11226
High School for Public Service: Heroes of Tomorrow,331700011546,11203
Brooklyn Academy of Science and the Environment,331700011547,11225
Brooklyn School for Music & Theatre,331700011548,11225
Brownsville Academy High School,331700011568,11212
Medgar Evers College Preparatory School,331700011590,11225
Clara Barton High School,331700011600,11225
Brooklyn Arts and Science Elementary School,331700010705,11238
New Heights Middle School,331700010722,11203
Brooklyn Institute for Liberal Arts,331700011745,11203
Academy for Health Careers,331700011751,11213
P.S. 770 New American Academy,331700010770,11212
P.S. 66,331800010066,11236
I.S. 068 Isaac Bildersee,331800010068,11236
P.S. 114 Ryder Elementary,331800010114,11236
P.S. 115 Daniel Mucatel School,331800010115,11236
P.S. 135 Sheldon A. Brookner,331800010135,11203
P.S. 208 Elsa Ebeling,331800010208,11203
I.S. 211 John Wilson,331800010211,11236
P.S. 219 Kennedy-King,331800010219,11212
P.S. 233 Langston Hughes,331800010233,11236
P.S. 235 Janice Marie Knight School,331800010235,11203
P.S. 244 Richard R. Green,331800010244,11203
P.S. 268 Emma Lazarus,331800010268,11203
P.S. 272 Curtis Estabrook,331800010272,11236
P.S. 276 Louis Marshall,331800010276,11236
P.S. 279 Herman Schreiber,331800010279,11236
I.S. 285 Meyer Levin,331800010285,11203
The Science And Medicine Middle School,331800010366,11236
It Takes a Village Academy,331800011563,11203
Brooklyn Generation School,331800011566,11236
Brooklyn Theatre Arts High School,331800011567,11236
Kurt Hahn Expeditionary Learning School,331800011569,11203
Victory Collegiate High School,331800011576,11236
Brooklyn Bridge Academy,331800011578,11236
East Flatbush Community Research School,331800010581,11203
Middle School for Art and Philosophy,331800010588,11212
Arts & Media Preparatory Academy,331800011589,11203
Middle School of Marketing and Legal Studies,331800010598,11203
High School for Innovation in Advertising and Media,331800011617,11236
Cultural Academy for the Arts and Sciences,331800011629,11203
High School for Medical Professions,331800011633,11236
Olympus Academy,331800011635,11236
Academy for Conservation and the Environment,331800011637,11236
Urban Action Academy,331800011642,11236
East Brooklyn Community High School,331800011673,11212
Brooklyn Science and Engineering Academy,331800010763,11203
P.S. 007 Abraham Lincoln,331900010007,11208
P.S. 013 Roberto Clemente,331900010013,11207
P.S. 065,331900010065,11208
P.S. 089 Cypress Hills,331900010089,11207
P.S. 108 Sal Abbracciamento,331900010108,11208
P.S. 149 Danny Kaye,331900010149,11207
P.S. 158 Warwick,331900010158,11207
P.S. 159 Isaac Pitkin,331900010159,11208
I.S. 171 Abraham Lincoln,331900010171,11208
P.S. 174 Dumont,331900010174,11207
P.S. 190 Sheffield,331900010190,11207
P.S. 202 Ernest S. Jenkyns,331900010202,11208
P.S. 213 New Lots,331900010213,11207
P.S. 214 Michael Friedsam,331900010214,11208
J.H.S. 218 James P. Sinnott,331900010218,11208
P.S. 224 Hale A. Woodruff,331900010224,11208
P.S. 273 Wortman,331900010273,11207
P.S. 290 Juan Morel Campos,331900010290,11207
J.H.S. 292 Margaret S. Douglas,331900010292,11207
P.S. 306 Ethan Allen,331900010306,11207
Essence School,331900010311,11207
The Fresh Creek School,331900010325,11207
P.S. 328 Phyllis Wheatley,331900010328,11207
P.S. 345 Patrolman Robert Bolden,331900010345,11208
P.S. 346 Abe Stark,331900010346,11239
I.S. 364 Gateway,331900010364,11239
Academy for Young Writers,331900011404,11208
East New York Family Academy,331900011409,11207
Spring Creek Community School,331900011422,11208
Frederick Douglass Academy VIII Middle School,331900010452,11239
FDNY High School for Fire and Life Safety,331900011502,11207
High School for Civil Rights,331900011504,11207
Performing Arts and Technology High School,331900011507,11207
World Academy for Total Community Health High School,331900011510,11207
Brooklyn Gardens Elementary School,331900010557,11207
Multicultural High School,331900011583,11208
Transit Tech Career and Technical Education High School,331900011615,11208
Academy of Innovative Technology,331900011618,11208
Brooklyn Lab School,331900011639,11208
Van Siclen Community Middle School,331900010654,11207
Cypress Hills Collegiate Preparatory School,331900011659,11208
W. H. Maxwell Career and Technical Education High School,331900011660,11207
Vista Academy,331900010661,11208
Liberty Avenue Middle School,331900010662,11208
School of the Future Brooklyn,331900010663,11207
East New York Elementary School of Excellence,331900010677,11208
East New York Middle School of Excellence,331900010678,11208
"The School for Classics: An Academy of Thinkers, Writers and Performers",331900011683,11208
Highland Park Community School,331900010760,11208
The Urban Assembly School for Collaborative Healthcare,331900011764,11208
P.S./I.S. 30 Mary White Ovington,332000010030,11209
P.S. 048 Mapleton,332000010048,11204
J.H.S. 062 Ditmas,332000010062,11218
P.S. 69 Vincent D. Grippo School,332000010069,11220
P.S. 102 The Bayview,332000010102,11209
P.S./I.S. 104 The Fort Hamilton School,332000010104,11209
P.S. 105 The Blythebourne,332000010105,11219
P.S. 112 Lefferts Park,332000010112,11228
P.S. 127 Mckinley Park,332000010127,11228
P.S. 160 William T. Sampson,332000010160,11219
P.S. 163 Bath Beach,332000010163,11214
P.S. 164 Caesar Rodney,332000010164,11219
Ralph A. Fabrizio School,332000010170,11209
P.S. 176 Ovington,332000010176,11219
P.S. 179 Kensington,332000010179,11218
The SEEALL Academy,332000010180,11204
P.S. 185 Walter Kassenbrock,332000010185,11209
P.S. 186 Dr. Irving A Gladstone,332000010186,11214
The Christa McAuliffe School\I.S. 187,332000010187,11219
P.S. 192 - The Magnet School for Math and Science Inquiry,332000010192,11204
P.S. 200 Benson School,332000010200,11214
J.H.S. 201 The Dyker Heights,332000010201,11228
P.S. 204 Vince Lombardi,332000010204,11228
P.S. 205 Clarion,332000010205,11204
J.H.S. 220 John J. Pershing,332000010220,11220
J.H.S. 223 The Montauk,332000010223,11204
J.H.S. 227 Edward B. Shallow,332000010227,11204
P.S. 229 Dyker,332000010229,11228
P.S. 247 Brooklyn,332000010247,11204
J.H.S. 259 William Mckinley,332000010259,11228
P.S. 264 Bay Ridge Elementary School For The Arts,332000010264,11209
The School For Future Leaders,332000010310,11219
New Utrecht High School,332000011445,11214
High School of Telecommunication Arts and Technology,332000011485,11220
Fort Hamilton High School,332000011490,11209
P.S. 503: The School of Discovery,332000010503,11220
Franklin Delano Roosevelt High School,332000011505,11204
P.S. 506: The School of Journalism & Technology,332000010506,11220
Urban Assembly School for Criminal Justice,332000011609,11204
The Academy of Talented Scholars,332000010682,11204
Brooklyn School of Inquiry,332000010686,11204
P.S. 748 Brooklyn School for Global Scholars,332000010748,11214
Pre-K Center District 20,,11228
"School of Math, Science, and Healthy Living",332000010971,11220
P.S. 90 Edna Cohen School,332100010090,11224
P.S. 095 The Gravesend,332100010095,11223
I.S. 096 Seth Low,332100010096,11204
P.S. 97 The Highlawn,332100010097,11223
I.S. 98 Bay Academy,332100010098,11235
P.S. 099 Isaac Asimov,332100010099,11230
P.S. 100 The Coney Island School,332100010100,11224
P.S. 101 The Verrazano,332100010101,11214
P.S. 121 Nelson A. Rockefeller,332100010121,11204
P.S. 128 Bensonhurst,332100010128,11214
P.S. 153 Homecrest,332100010153,11229
P.S. 177 The Marlboro,332100010177,11204
P.S. 188 Michael E. Berdy,332100010188,11224
P.S. 199 Frederick Wachtel,332100010199,11230
P.S. 209 Margaret Mead,332100010209,11235
P.S. 212 Lady Deborah Moody,332100010212,11214
P.S. 215 Morris H. Weiss,332100010215,11223
P.S. 216 Arturo Toscanini,332100010216,11223
P.S. K225 - The Eileen E. Zaglin,332100010225,11235
P.S. 226 Alfred De B.Mason,332100010226,11204
I.S. 228 David A. Boody,332100010228,11223
P.S. 238 Anne Sullivan,332100010238,11223
Mark Twain I.S. 239 for the Gifted & Talented,332100010239,11224
P.S. 253,332100010253,11235
I.S. 281 Joseph B Cavallaro,332100010281,11214
P.S. 288 The Shirley Tanyhill,332100010288,11224
I.S. 303 Herbert S. Eisenberg,332100010303,11224
P.S. 329 Surfside,332100010329,11224
International High School at Lafayette,332100011337,11214
Rachel Carson High School for Coastal Studies,332100011344,11224
High School of Sports Management,332100011348,11214
Abraham Lincoln High School,332100011410,11235
Kingsborough Early College School,332100011468,11214
Edward R. Murrow High School,332100011525,11230
John Dewey High School,332100011540,11223
Life Academy High School for Film and Music,332100011559,11214
Expeditionary Learning School for Community Leaders,332100011572,11214
William E. Grady Career and Technical Education High School,332100011620,11235
Brooklyn Studio Secondary School,332100011690,11214
Liberation Diploma Plus,332100011728,11224
Pre-K Center District 21,,11204
J.H.S. 014 Shell Bank,332200010014,11235
P.S. 052 Sheepshead Bay,332200010052,11235
J.H.S. 078 Roy H. Mann,332200010078,11234
P.S. 109,332200010109,11203
P.S. 119 Amersfort,332200010119,11210
P.S. K134,332200010134,11218
P.S. 139 Alexine A. Fenty,332200010139,11226
School of Science & Technology,332200010152,11210
P.S. 193 Gil Hodges,332200010193,11210
P.S. 194 Raoul Wallenberg,332200010194,11229
P.S. 195 Manhattan Beach,332200010195,11235
P.S. 197 - The Kings Highway Academy,332200010197,11210
P.S. 198 Brooklyn,332200010198,11210
P.S. 203 Floyd Bennett School,332200010203,11234
P.S. 206 Joseph F Lamb,332200010206,11229
P.S. 207 Elizabeth G. Leary,332200010207,11234
P.S. 217 Colonel David Marcus School,332200010217,11230
P.S. 222 Katherine R. Snyder,332200010222,11234
J.H.S. 234 Arthur W. Cunningham,332200010234,11229
P.S. 236 Mill Basin,332200010236,11234
Andries Hudde,332200010240,11210
P.S. 245,332200010245,11226
P.S. 251 Paerdegat,332200010251,11234
P.S. 254 Dag Hammarskjold,332200010254,11235
P.S. 255 Barbara Reing School,332200010255,11229
P.S. 269 Nostrand,332200010269,11210
P.S. 277 Gerritsen Beach,332200010277,11229
J.H.S. 278 Marine Park,332200010278,11229
P.S. 312 Bergen Beach,332200010312,11234
P.S. K315,332200010315,11210
P.S. 326,332200010326,11234
P.S. 361 East Flatbush Early Childhood School,332200010361,11226
I. S. 381,332200010381,11210
Midwood High School,332200011405,11210
James Madison High School,332200011425,11229
Sheepshead Bay High School,332200011495,11235
Leon M. Goldstein High School for the Sciences,332200011535,11235
Brooklyn College Academy,332200011555,11218
Origins High School,332200011611,11235
Professional Pathways High School,332200011630,11235
Pre-K Center District 22,,11230
P.S. 041 Francis White,332300010041,11212
P.S. 073 Thomas S. Boyland,332300010073,11233
P.S./I.S. 137 Rachel Jean Mitchell,332300010137,11233
P.S. 150 Christopher,332300010150,11212
P.S./ I.S. 155 Nicholas Herkimer,332300010155,11233
P.S. 156 Waverly,332300010156,11212
P.S. 165 Ida Posner,332300010165,11212
P.S. 178 Saint Clair Mckelway,332300010178,11233
P.S. 184 Newport,332300010184,11212
P.S. 284 Lew Wallace,332300010284,11212
P.S. 298 Dr. Betty Shabazz,332300010298,11212
P.S./I.S. 323,332300010323,11212
P.S. 327 Dr. Rose B. English,332300010327,11212
Brownsville Collaborative Middle School,332300010363,11212
I.S. 392,332300010392,11212
Christopher Avenue Community School,332300010401,11212
Riverdale Avenue Community School,332300010446,11212
Brooklyn Collegiate: A College Board School,332300011493,11233
Frederick Douglass Academy VII High School,332300010514,11212
Kappa V,332300010518,11212
Mott Hall IV,332300010522,11233
Brooklyn Landmark Elementary School,332300010599,11233
Brooklyn Democracy Academy,332300011643,11212
Eagle Academy for Young Men II,332300011644,11233
Aspirations Diploma Plus High School,332300011646,11233
Metropolitan Diploma Plus High School,332300011647,11212
Brooklyn Environmental Exploration School (BEES),332300010664,11233
Riverdale Avenue Middle School,332300010668,11212
Mott Hall Bridges Academy,332300010671,11212
Teachers Preparatory High School,332300011697,11212
I.S. 5 - The Walter Crowley Intermediate School,342400010005,11373
P.S. 007 Louis F. Simeone,342400010007,11373
P.S. 012 James B. Colgate,342400010012,11377
P.S. 013 Clement C. Moore,342400010013,11373
P.S. 014 Fairview,342400010014,11368
P.S. Q016 The Nancy DeBenedittis School,342400010016,11368
P.S. 019 Marino Jeantet,342400010019,11368
P.S. 28 - The Thomas Emanuel Early Childhood Center,342400010028,11368
P.S. 049 Dorothy Bonawit Kole,342400010049,11379
P.S. 58 - The School of Heroes,342400010058,11378
I.S. 061 Leonardo Da Vinci,342400010061,11368
P.S. 068 Cambridge,342400010068,11385
P.S. 071 Forest,342400010071,11385
I.S. 73 - The Frank Sansivieri Intermediate School,342400010073,11378
I.S. 077,342400010077,11385
P.S. 81Q Jean Paul Richter,342400010081,11385
P.S./I.S. 087 Middle Village,342400010087,11379
P.S. 088 Seneca,342400010088,11385
P.S. 089 Elmhurst,342400010089,11373
P.S. 091 Richard Arkwright,342400010091,11385
I.S. 093 Ridgewood,342400010093,11385
P.S. 102 Bayview,342400010102,11373
P.S. 110,342400010110,11368
P.S./I.S. 113 Anthony J. Pranzo,342400010113,11385
I.S. 119 The Glendale,342400010119,11385
I.S. 125 Thom J. McCann Woodside,342400010125,11377
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",342400010128,11379
P.S. 143 Louis Armstrong,342400010143,11368
P.S. 153 Maspeth Elem,342400010153,11378
P.S. 199 Maurice A. Fitzgerald,342400010199,11104
Elm Tree Elementary School,342400010211,11373
P.S. 229 Emanuel Kaplan,342400010229,11377
International High School for Health Sciences,342400011236,11373
P.S. 239,342400010239,11385
Academy of Finance and Enterprise,342400011264,11101
High School of Applied Communication,342400011267,11101
A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,342400010290,11385
Civic Leadership Academy,342400011293,11373
Pan American International High School,342400011296,11373
Bard High School Early College Queens,342400011299,11101
Learners and Leaders,342400010305,11385
Pioneer Academy,342400010307,11368
Corona Arts and Sciences Academy,342400010311,11373
P.S. 330,342400010330,11368
Pre-K Center District 24,,11385
The Children's Lab School,342400010343,11104
Newtown High School,342400011455,11373
Grover Cleveland High School,342400011485,11385
Middle College High School at LaGuardia Community College,342400011520,11101
International High School at LaGuardia Community College,342400011530,11101
High School for Arts and Business,342400011550,11368
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",342400011560,11101
Maspeth High School,342400011585,11373
Queens Vocational and Technical High School,342400011600,11101
Aviation Career & Technical Education High School,342400011610,11101
VOYAGES Preparatory,342400011744,11373
The 51 Avenue Academy (The Path To Academic Excellence),342400010877,11373
P.S. 020 John Bowne,342500010020,11355
P.S. 021 Edward Hart,342500010021,11354
P.S. 022 Thomas Jefferson,342500010022,11355
P.S. 024 Andrew Jackson,342500010024,11355
I.S. 025 Adrien Block,342500010025,11358
P.S. 029 Queens,342500010029,11356
P.S. 032 State Street,342500010032,11358
P.S. 079 Francis Lewis,342500010079,11357
P.S. 107 Thomas A Dooley,342500010107,11358
P.S. 120 Queens,342500010120,11355
P.S. 129 Patricia Larkin,342500010129,11356
P.S. 130,342500010130,11361
P.S. 154 Queens,342500010154,11366
P.S. 163 Flushing Heights,342500010163,11365
P.S. 164 Queens Valley,342500010164,11367
P.S. 165 Edith K. Bergtraum,342500010165,11367
P.S. 169 Bay Terrace,342500010169,11360
P.S. 184 Flushing Manor,342500010184,11357
J.H.S. 185 Edward Bleeker,342500010185,11354
J.H.S. 189 Daniel Carter Beard,342500010189,11355
P.S. 193 Alfred J. Kennedy,342500010193,11357
J.H.S. 194 William Carr,342500010194,11357
P.S./M.S. 200 - The Pomonok School & STAR Academy,342500010200,11365
P.S. 201 The Discovery School for Inquiry and Research,342500010201,11367
P.S. 209 Clearview Gardens,342500010209,11357
P.S. 214 Cadwallader Colden,342500010214,11354
P.S. 219 Paul Klapper,342500010219,11367
I.S. 237,342500010237,11355
Veritas Academy,342500011240,11354
Queens High School for Language Studies,342500011241,11354
P.S. 242 Leonard P. Stavisky Early Childhood School,342500010242,11354
The Active Learning Elementary School,342500010244,11355
I.S. 250 The Robert F. Kennedy Community Middle School,342500010250,11366
"Queens School of Inquiry, The",342500011252,11366
Flushing International High School,342500011263,11355
East-West School of International Studies,342500011281,11355
World Journalism Preparatory: A College Board School,342500011285,11358
BELL Academy,342500010294,11360
John Bowne High School,342500011425,11367
Flushing High School,342500011460,11354
"The Queens College School for Math, Science and Technology",342500011499,11367
Townsend Harris High School,342500011525,11367
Queens Academy High School,342500011540,11354
Robert F. Kennedy Community High School,342500011670,11366
North Queens Community High School,342500011792,11367
P.S. 018 Winchester,342600010018,11427
P.S. 026 Rufus King,342600010026,11365
