BEDS,Name,Borough,NumHomeless
332200860978,BROOKLYN DREAMS CHARTER SCHOOL,KINGS,21
331300860937,BROOKLYN EAST COLLEGIATE CHARTER SCHOOL,NEW YORK,13
331600860847,BROOKLYN EXCELSIOR CHARTER SCHOOL,KINGS,34
331300861063,BROOKLYN LABORATORY CHARTER SCHOOL,KINGS,
331500860935,BROOKLYN PROSPECT CHARTER SCHOOL,KINGS,9
331900860958,BROOKLYN SCHOLARS CHARTER SCHOOL,KINGS,23
331300861011,BROOKLYN URBAN GARDEN CHARTER SCHOOL,KINGS,11
310200860992,BROOME STREET ACADEMY CHARTER HIGH SCHOOL,NEW YORK,45
332300860954,BROWNSVILLE ASCEND CHARTER SCHOOL,KINGS,11
332300860939,BROWNSVILLE COLLEGIATE CHARTER SCHOOL,KINGS,17
333200860987,BUSHWICK ASCEND CHARTER SCHOOL,KINGS,31
331800861033,CANARSIE ASCEND CHARTER SCHOOL,KINGS,7
342400861025,CENTRAL QUEENS ACADEMY CHARTER SCHOOL,QUEENS,7
342700860990,CHALLENGE PREPARATORY CHARTER SCHOOL,QUEENS,15
321200861026,CHILDREN'S AID COLLEGE PREP CHARTER SCHOOL,BRONX,33
331400861036,CITIZENS OF THE WORLD CHARTER SCHOOL NEW YORK 1,KINGS,21
331700861037,CITIZENS OF THE WORLD CHARTER SCHOOL NEW YORK 2,KINGS,18
331300860810,COMMUNITY PARTNERSHIP CHARTER SCHOOL,KINGS,8
331300860893,COMMUNITY ROOTS CHARTER SCHOOL,KINGS,
331300861066,COMPASS CHARTER SCHOOL,KINGS,7
332100860949,CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL,KINGS,10
331800860988,THE CULTURAL ARTS ACADEMY AT SPRING CREEK CHARTER SCHOOL,KINGS,
310500861001,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,NEW YORK,24
310500860989,DEMOCRACY PREP HARLEM CHARTER SCHOOL,NEW YORK,64
310500860894,DEMOCRACY PREP CHARTER SCHOOL,NEW YORK,33
321200860965,DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL,BRONX,32
310400860919,DREAM CHARTER SCHOOL,NEW YORK,36
310400860995,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL,NEW YORK,40
310400861046,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II,NEW YORK,33
321100860956,THE EQUALITY CHARTER SCHOOL,BRONX,13
331600860860,EXCELLENCE BOYS CHARTER SCHOOL,KINGS,43
331600860938,EXCELLENCE GIRLS CHARTER SCHOOL,KINGS,42
331700860841,EXPLORE CHARTER SCHOOL,KINGS,19
331700860950,EXPLORE EMPOWER CHARTER SCHOOL,KINGS,25
331700861027,EXPLORE EXCEED CHARTER SCHOOL,KINGS,14
331800860702,EXPLORE EXCEL CHARTER SCHOOL,KINGS,11
331700860951,FAHARI ACADEMY CHARTER SCHOOL,KINGS,19
320900860839,FAMILY LIFE ACADEMY CHARTER SCHOOL,BRONX,37
320700861028,FAMILY LIFE ACADEMY CHARTER SCHOOL II,BRONX,23
320700861070,FAMILY LIFE ACADEMY CHARTER SCHOOL III,BRONX,17
310300860881,FUTURE LEADERS INSTITUTE CHARTER SCHOOL,NEW YORK,55
310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,NEW YORK,57
320800860940,GIRLS PREPARATORY CHARTER SCHOOL OF THE BRONX,BRONX,45
310600861012,GLOBAL COMMUNITY CHARTER SCHOOL,NEW YORK,39
320900860872,GRAND CONCOURSE CHARTER SCHOOL,BRONX,20
310200861055,GREAT OAKS CHARTER SCHOOL,NEW YORK,7
343000860952,GROWING UP GREEN CHARTER SCHOOL,QUEENS,19
310400860812,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,NEW YORK,25
310300861034,HARLEM HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,NEW YORK,24
310300860875,HARLEM LINK CHARTER SCHOOL,NEW YORK,33
310400860840,HARLEM PREP CHARTER SCHOOL,NEW YORK,58
310500860848,HARLEM VILLAGE ACADEMY CHARTER SCHOOL,NEW YORK,60
310400860849,HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,NEW YORK,67
320900860823,HARRIET TUBMAN CHARTER SCHOOL,BRONX,35
310500860864,HARLEM CHILDREN'S ZONE PROMISE ACADEMY 1 CHARTER SCHOOL,NEW YORK,93
310500860886,HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,NEW YORK,63
332200860955,HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,KINGS,10
320700860703,HEKETI COMMUNITY CHARTER SCHOOL,BRONX,17
331500860878,HELLENIC CLASSICAL CHARTER SCHOOL,KINGS,25
320800860903,HYDE LEADERSHIP CHARTER SCHOOL,BRONX,61
331900860972,HYDE LEADERSHIP CHARTER SCHOOL- BROOKLYN,KINGS,32
320900861029,ICAHN CHARTER SCHOOL 6,BRONX,22
320800861030,ICAHN CHARTER SCHOOL #7,BRONX,
320900860835,ICAHN CHARTER SCHOOL,BRONX,14
321100860909,ICAHN CHARTER SCHOOL 2,BRONX,19
321100860917,ICAHN CHARTER SCHOOL 3,BRONX,10
321100860948,ICAHN CHARTER SCHOOL 4,BRONX,
321100860982,ICAHN CHARTER SCHOOL 5,BRONX,
331900860973,IMAGINE ME LEADERSHIP CHARTER SCHOOL,KINGS,16
310100860996,INNOVATE MANHATTAN CHARTER SCHOOL,NEW YORK,8
321000860904,INTERNATIONAL LEADERSHIP CHARTER SCHOOL,BRONX,7
331900860997,INVICTUS PREPARATORY CHARTER SCHOOL,KINGS,17
310600860966,INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,NEW YORK,37
310200860819,JOHN V. LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,NEW YORK,24
353100860959,JOHN W. LAVELLE PREPARATORY CHARTER SCHOOL,RICHMOND,6
331800860908,KINGS COLLEGIATE CHARTER SCHOOL,KINGS,15
320700860820,KIPP ACADEMY CHARTER SCHOOL,BRONX,61
331700860882,KIPP AMP CHARTER SCHOOL,KINGS,68
310500860883,KIPP INFINITY CHARTER SCHOOL,NEW YORK,88
310600861013,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,NEW YORK,64
310500860858,KIPP STAR COLLEGE PREP CHARTER SCHOOL,NEW YORK,24
331600860924,LA CIMA CHARTER SCHOOL,KINGS,31
331600861003,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,KINGS,22
331300860901,LEADERSHIP PREP BEDFORD STUYVESANT UNCOMMON PREP CHARTER SCHOOL,KINGS,34
332300860942,LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL,KINGS,26
331800860943,LEADERSHIP PREP CANARSIE CHARTER SCHOOL (LEADERSHIP PREP CS 4),KINGS,6
332300860941,LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL,KINGS,39
331700860967,LEFFERTS GARDENS CHARTER SCHOOL,KINGS,44
310100860873,MANHATTAN CHARTER SCHOOL,NEW YORK,26
310100861031,MANHATTAN CHARTER SCHOOL II,NEW YORK,16
333200861059,"MATH, ENGINEERING, AND SCIENCE ACADEMY CHARTER HIGH SCHOOL",KINGS,12
342900860821,MERRICK ACADEMY - QUEENS PUBLIC CHARTER SCHOOL,QUEENS,14
320900860962,METROPOLITAN LIGHTHOUSE CHARTER SCHOOL,BRONX,18
342400861048,MIDDLE VILLAGE PREP CHARTER SCHOOL,QUEENS,
320900861004,MOTT HALL CHARTER SCHOOL,BRONX,12
320700860925,MOTT HAVEN ACADEMY CHARTER SCHOOL,BRONX,55
310500861015,NEIGHBORHOOD CHARTER SCHOOL OF HARLEM,NEW YORK,40
