DBN,Name,M_numtested,M_mean,M_L1,M_L2,M_L3,M_L4,ELA_numtested,ELA_mean,ELA_L1,ELA_L2,ELA_L3,ELA_L4
13K307,P.S. 307 DANIEL HALE WILLIAMS,129,294.4109,50,48,17,14,131,285.7786,64,44,15,8
13K313,SATELLITE WEST MIDDLE SCHOOL,109,287.5321,53,37,14,5,108,285.6296,46,42,15,5
13K351,THE URBAN ASSEMBLY UNISON SCHOOL,121,275.8843,81,32,8,0,117,287.359,54,46,15,2
13K492,ACADEMY OF ARTS AND LETTERS,253,306.2925,55,116,59,23,253,313.6719,29,112,79,33
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,181,298.0773,55,92,27,7,184,297.8696,45,93,41,5
13K596,MS 596 PEACE ACADEMY,82,265.7561,55,24,3,0,78,271.0897,53,22,3,0
13K691,FORT GREENE PREPARATORY ACADEMY,231,280.2987,131,81,19,0,228,289.6842,87,107,27,7
14K016,P.S. 016 LEONARD DUNKLY,105,286.8952,43,44,15,3,104,290.6635,48,38,14,4
14K017,P.S. 017 HENRY D. WOODWORTH,147,303.6871,43,47,36,21,146,292.4041,67,40,29,10
14K018,P.S. 018 EDWARD BUSH,85,293.2353,34,28,19,4,85,285.6235,43,30,12,0
14K019,P.S. 019 ROBERTO CLEMENTE,107,273.486,65,28,10,4,103,271.2621,65,31,5,2
14K023,P.S. 023 CARTER G. WOODSON,107,293.2243,46,35,18,8,105,281.9333,61,34,10,0
14K031,P.S. 031 SAMUEL F. DUPONT,235,334.9191,8,48,87,92,233,321.6824,19,93,80,41
14K034,P.S. 034 OLIVER H. PERRY,233,326.9227,16,61,82,74,233,316.9227,41,74,72,46
14K050,J.H.S. 050 JOHN D. WELLS,283,274.1979,170,102,8,3,268,273.0933,144,105,15,4
14K059,P.S. 059 WILLIAM FLOYD,152,277.3289,91,42,14,5,152,278.8421,85,47,15,5
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,306,267.2288,222,73,10,1,305,269.3607,200,98,6,1
14K084,P.S. 084 JOSE DE DIEGO,163,294.4356,64,61,27,11,162,293.6296,64,57,33,8
14K110,P.S. 110 THE MONITOR,118,305.8983,28,36,41,13,119,307.2017,29,39,37,14
14K120,P.S. 120 CARLOS TAPIA,182,296.478,72,62,25,23,178,287.4438,82,72,19,5
14K126,JOHN ERICSSON MIDDLE SCHOOL 126,258,287.1977,123,107,23,5,254,278.3228,128,95,29,2
14K132,P.S. 132 THE CONSELYEA SCHOOL,331,324.3353,14,119,115,83,330,320.8788,42,108,117,63
14K147,P.S. 147 ISAAC REMSEN,113,287.4779,54,31,22,6,113,295.9381,39,47,22,5
14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,299,284.4348,156,109,33,1,296,284.3851,136,127,31,2
14K196,P.S. 196 TEN EYCK,156,301.2115,46,55,41,14,154,296.6494,55,60,33,6
14K250,P.S. 250 GEORGE H. LINDSAY,352,297.517,125,115,83,29,349,297.7507,116,139,81,13
14K257,P.S. 257 JOHN F. HYLAN,246,305.0528,65,82,64,35,242,301.5413,71,87,59,25
14K297,P.S. 297 ABRAHAM STOCKTON,128,287.5781,66,32,20,10,127,285.7559,55,56,14,2
14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,1310,300.3702,391,573,239,107,1512,299.3505,412,652,331,117
14K330,THE SCHOOL FOR THE URBAN ENVIRONMENT,63,274.4286,45,16,1,1,60,267.3167,42,18,0,0
14K380,P.S. 380 JOHN WAYNE ELEMENTARY,260,314.2846,29,110,74,47,260,306.0423,50,115,84,11
14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,82,278.3537,46,30,4,2,80,280.7375,45,22,13,0
14K577,CONSELYEA PREPARATORY SCHOOL,407,303.3857,118,172,85,32,471,307.1762,79,210,130,52
14K582,M.S. 582,211,276.8578,139,60,10,2,229,283.1092,105,97,21,6
14K586,LYONS COMMUNITY SCHOOL,198,275.3283,130,62,5,1,199,274.8945,118,74,7,0
14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,129,302.0543,32,63,28,6,127,297.6063,28,73,19,7
15K001,P.S. 001 THE BERGEN,464,299.4784,132,191,111,30,454,291.2401,190,181,72,11
15K010,"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",409,324.8631,46,103,133,127,408,323.7696,56,96,154,102
15K015,P.S. 015 PATRICK F. DALY,146,302.4863,45,52,31,18,145,293.6069,55,55,28,7
